transcription,path_to_audio,speaker_id,native_language,gender,s2t_medium_transcriptions
now our figuring was all right,data/l2arctic/YKWK/wav/arctic_a0414.wav,YKWK,Korean,M,now our figureing was all right
it lasted as a deterrent for two days,data/l2arctic/YKWK/wav/arctic_a0415.wav,YKWK,Korean,M,enlisted as a deterrent for two days
the added weight had a velocity of fifteen miles per hour,data/l2arctic/YKWK/wav/arctic_a0416.wav,YKWK,Korean,M,the added weight had of lusty or fifteen miles per hour
it is also an insidious deceitful sun,data/l2arctic/YKWK/wav/arctic_a0417.wav,YKWK,Korean,M,it is also an insidious deceitful son
the portuguese boy crawled nearer and nearer,data/l2arctic/YKWK/wav/arctic_a0418.wav,YKWK,Korean,M,the portuguese boy crawled nearer and nearer
the portuguese boy passed the hawaiian,data/l2arctic/YKWK/wav/arctic_a0419.wav,YKWK,Korean,M,the portuguese boy passed a hawaiian
when i came to i was waving my hat and murmuring ecstatically,data/l2arctic/YKWK/wav/arctic_a0420.wav,YKWK,Korean,M,when i came to i was waving my head and murmuring ecstatically
by golly the boy wins,data/l2arctic/YKWK/wav/arctic_a0421.wav,YKWK,Korean,M,by golly the boy wins
halfway around the track one donkey got into an argument with its rider,data/l2arctic/YKWK/wav/arctic_a0422.wav,YKWK,Korean,M,half way round the track one donkey got into an argument with its rider
mcveigh when he returned from a trip to honolulu,data/l2arctic/YKWK/wav/arctic_a0423.wav,YKWK,Korean,M,mac fade when he returned from a trip to honolulu
obviously it was a disease that could be contracted by contact,data/l2arctic/YKWK/wav/arctic_a0424.wav,YKWK,Korean,M,obviously it was a disease that could be contracted by contact
they do not know the length of time of incubation,data/l2arctic/YKWK/wav/arctic_a0426.wav,YKWK,Korean,M,they do not know the length of time of incubation
enters now the psychology of the situation,data/l2arctic/YKWK/wav/arctic_a0427.wav,YKWK,Korean,M,enters now the psychology of the situation
it was not exactly a deportation,data/l2arctic/YKWK/wav/arctic_a0428.wav,YKWK,Korean,M,it was not exactly our deportation
quick was the disappointment in his face yet smiling was the acquiescence,data/l2arctic/YKWK/wav/arctic_a0429.wav,YKWK,Korean,M,quick was that disappointment in his face your smiling was the acquiescence
nevertheless we found ourselves once more in the high seat of abundance,data/l2arctic/YKWK/wav/arctic_a0430.wav,YKWK,Korean,M,nevertheless we found ourselves once more in the high seat of abundance
wada and na ka ta were in a bit of a funk,data/l2arctic/YKWK/wav/arctic_a0431.wav,YKWK,Korean,M,waiter and nakata were in a bit of funk
the boy at the wheel lost his head,data/l2arctic/YKWK/wav/arctic_a0432.wav,YKWK,Korean,M,to boy at the will lost his head
to her the bridge was tambo which is the native for taboo,data/l2arctic/YKWK/wav/arctic_a0433.wav,YKWK,Korean,M,to her the breezy was timbre which is the native for taboo
a half a case of tobacco was worth three pounds,data/l2arctic/YKWK/wav/arctic_a0434.wav,YKWK,Korean,M,a half a case of tobacco was worth three pounds
what do you mean by this outrageous conduct,data/l2arctic/YKWK/wav/arctic_a0435.wav,YKWK,Korean,M,what do you mean by these outrageous conducts
but martin smiled a superior smile,data/l2arctic/YKWK/wav/arctic_a0436.wav,YKWK,Korean,M,remarking smiled a spurious smile
by that answer my professional medical prestige stood or fell,data/l2arctic/YKWK/wav/arctic_a0437.wav,YKWK,Korean,M,by that answer my professional medical prestige stood or fell
at sea monday march sixteenth nineteen o eight,data/l2arctic/YKWK/wav/arctic_a0438.wav,YKWK,Korean,M,as c monday march sixteenth nineteen o eight
at sea wednesday march eighteenth nineteen o eight,data/l2arctic/YKWK/wav/arctic_a0439.wav,YKWK,Korean,M,at c wednesday march eighteenth nineteen o eight
yes sir i corrected,data/l2arctic/YKWK/wav/arctic_a0440.wav,YKWK,Korean,M,yes sir i cracked it
violent life and athletic sports had never appealed to me,data/l2arctic/YKWK/wav/arctic_a0441.wav,YKWK,Korean,M,file on life and athletic sports had never appealed to me
he was worth nothing to the world,data/l2arctic/YKWK/wav/arctic_a0443.wav,YKWK,Korean,M,he was worth nothing to the world
then you dont believe in altruism,data/l2arctic/YKWK/wav/arctic_a0444.wav,YKWK,Korean,M,continued on believing altruism
the creative joy i murmured,data/l2arctic/YKWK/wav/arctic_a0445.wav,YKWK,Korean,M,the credy of joy i murmured
he deluged me overwhelmed me with argument,data/l2arctic/YKWK/wav/arctic_a0446.wav,YKWK,Korean,M,it allused me of a violent me with argument
ah it is growing dark and darker,data/l2arctic/YKWK/wav/arctic_a0447.wav,YKWK,Korean,M,ah it's growing dark and dark
i was hump cabin boy on the schooner ghost,data/l2arctic/YKWK/wav/arctic_a0448.wav,YKWK,Korean,M,i was hump cap'n boy on the schooner coast
a sinewy hand dripping with water was clutching the rail,data/l2arctic/YKWK/wav/arctic_a0449.wav,YKWK,Korean,M,a sinewy hand drooping with water was clutching the rail
no man ate of the seal meat or the oil,data/l2arctic/YKWK/wav/arctic_a0450.wav,YKWK,Korean,M,no men ate of the seal meat or the oil
i noticed blood spouting from kerfoot left hand,data/l2arctic/YKWK/wav/arctic_a0451.wav,YKWK,Korean,M,i noticed blood sprouting from crawford's left hand
three oilers and a fourth engineer was his greeting,data/l2arctic/YKWK/wav/arctic_a0452.wav,YKWK,Korean,M,three oilers and a fourth engineer was his greeting
eighteen hundred he calculated,data/l2arctic/YKWK/wav/arctic_a0453.wav,YKWK,Korean,M,eighteen hundred he calculated
the sharp voice of wolf larsen aroused me,data/l2arctic/YKWK/wav/arctic_a0454.wav,YKWK,Korean,M,the sharp voice of old flawson aroused me
i obeyed and a minute or two later they stood before him,data/l2arctic/YKWK/wav/arctic_a0455.wav,YKWK,Korean,M,i obeyed and a minute or two later they stood before him
but it wont continue she said with easy confidence,data/l2arctic/YKWK/wav/arctic_a0456.wav,YKWK,Korean,M,but it won't continue she said with each confidence
what i saw i could not at first believe,data/l2arctic/YKWK/wav/arctic_a0457.wav,YKWK,Korean,M,what i saw i could not at first believe
the stout wood was crushed like an eggshell,data/l2arctic/YKWK/wav/arctic_a0458.wav,YKWK,Korean,M,the starboard was crest like an egg shell
i had forgotten their existence,data/l2arctic/YKWK/wav/arctic_a0460.wav,YKWK,Korean,M,i had forgotten their existence
ah we were very close together in that moment,data/l2arctic/YKWK/wav/arctic_a0461.wav,YKWK,Korean,M,ah we were very close together in the moment
but she swung obediently on her heel into the wind,data/l2arctic/YKWK/wav/arctic_a0462.wav,YKWK,Korean,M,but she swung obediently on her heel into the wind
they are his tongue by which he makes his knowledge articulate,data/l2arctic/YKWK/wav/arctic_a0463.wav,YKWK,Korean,M,the year his tongue by which he makes his knowledge articulate
between the rush of the cascades streaks of rust showed everywhere,data/l2arctic/YKWK/wav/arctic_a0464.wav,YKWK,Korean,M,between the rush of cascades streaks of rust showed everywhere
he will never do a tap of work the whole voyage,data/l2arctic/YKWK/wav/arctic_a0465.wav,YKWK,Korean,M,he will never do a tab of work the whole voice
captain west may be a samurai but he is also human,data/l2arctic/YKWK/wav/arctic_a0466.wav,YKWK,Korean,M,captain west may be a samurai but he is also human
and so early in the voyage too,data/l2arctic/YKWK/wav/arctic_a0467.wav,YKWK,Korean,M,and so only in the voice too
in the matter of curry she is a sheer genius,data/l2arctic/YKWK/wav/arctic_a0468.wav,YKWK,Korean,M,in the matter of curry she is a sheer genius
the eastern heavens were equally spectacular,data/l2arctic/YKWK/wav/arctic_a0469.wav,YKWK,Korean,M,the eastern heavens were equally spectacular
he spat it out like so much venom,data/l2arctic/YKWK/wav/arctic_a0470.wav,YKWK,Korean,M,despaired out like so much fern on
i saw mister pike nod his head grimly and sarcastically,data/l2arctic/YKWK/wav/arctic_a0471.wav,YKWK,Korean,M,i saw miss pike nodd his head grimly and sarcastically
he is too keenly intelligent too sharply sensitive successfully to endure,data/l2arctic/YKWK/wav/arctic_a0472.wav,YKWK,Korean,M,he is too keenly intelligent too sharply sensitive successfully to endure
the night was calm and snowy,data/l2arctic/YKWK/wav/arctic_a0473.wav,YKWK,Korean,M,to night was calm and snowy
i sailed third mate in the little vampire before you were born,data/l2arctic/YKWK/wav/arctic_a0474.wav,YKWK,Korean,M,i sailed third mate in the little vampire before you were upon
his outstretched arm dropped to his side and he paused,data/l2arctic/YKWK/wav/arctic_a0475.wav,YKWK,Korean,M,his outstretched arm dropped to his side and he paused
wada louis and the steward are servants of asiatic breed,data/l2arctic/YKWK/wav/arctic_a0477.wav,YKWK,Korean,M,water wreaths and the steward are servants of asiatic breed
also she has forbidden them smoking their pipes in the after room,data/l2arctic/YKWK/wav/arctic_a0478.wav,YKWK,Korean,M,also she has forbidden them smoking their pipes in their after room
i tried to read george moore last night and was dreadfully bored,data/l2arctic/YKWK/wav/arctic_a0479.wav,YKWK,Korean,M,i tried to read george moore last night and was dreadfully bored
tom spink has a harpoon,data/l2arctic/YKWK/wav/arctic_a0480.wav,YKWK,Korean,M,tom's pink haser harpoon
nimrod replied with a slight manifestation of sensitiveness,data/l2arctic/YKWK/wav/arctic_a0481.wav,YKWK,Korean,M,nimrod replied with a slight manifestation of sensitiveness
and their chief virtue lies in that they will never wear out,data/l2arctic/YKWK/wav/arctic_a0482.wav,YKWK,Korean,M,and their chief virtue lies in that they will never wear out
beyond dispute corry hutchinson had married mabel holmes,data/l2arctic/YKWK/wav/arctic_a0483.wav,YKWK,Korean,M,beyond dispute curry hutchinson had married mabel holmes
no sir ee,data/l2arctic/YKWK/wav/arctic_a0484.wav,YKWK,Korean,M,nor surrey
each insult added to the value of the claim,data/l2arctic/YKWK/wav/arctic_a0485.wav,YKWK,Korean,M,each insult added to the value of the claim
for the rest he was a mere automaton,data/l2arctic/YKWK/wav/arctic_a0486.wav,YKWK,Korean,M,for the rest he was a mere automaton
the river bared its bosom and snorting steamboats challenged the wilderness,data/l2arctic/YKWK/wav/arctic_a0487.wav,YKWK,Korean,M,the river bared its bosom and snortings steamboats challenging it the wilderness
their love burned with increasing brightness,data/l2arctic/YKWK/wav/arctic_a0488.wav,YKWK,Korean,M,their love burned with increasing brightness
they were artists not biologists,data/l2arctic/YKWK/wav/arctic_a0489.wav,YKWK,Korean,M,they were artists not biologists
both johnny and his mother shuffled their feet as they walked,data/l2arctic/YKWK/wav/arctic_a0490.wav,YKWK,Korean,M,both johnnie and his mother shuffled their feet as they walked
and as in denial of guilt the one legged boy replied,data/l2arctic/YKWK/wav/arctic_a0491.wav,YKWK,Korean,M,and as in denial of guilt the one legged boy replied
burnt out like the crater of a volcano,data/l2arctic/YKWK/wav/arctic_a0492.wav,YKWK,Korean,M,burnt out like the crater of a volcano
obrien took off his coat and bared his right arm,data/l2arctic/YKWK/wav/arctic_a0494.wav,YKWK,Korean,M,o'brien took off his cord and bared his right arm
he bore no grudges and had few enemies,data/l2arctic/YKWK/wav/arctic_a0495.wav,YKWK,Korean,M,he bore no grudges and had few enemies
and tom king patiently endured,data/l2arctic/YKWK/wav/arctic_a0496.wav,YKWK,Korean,M,and tom came patiently endured
king took every advantage he knew,data/l2arctic/YKWK/wav/arctic_a0497.wav,YKWK,Korean,M,king took every advantage he knew
the lines were now very taut,data/l2arctic/YKWK/wav/arctic_a0498.wav,YKWK,Korean,M,the lines were now very hot
and right there i saw and knew it all,data/l2arctic/YKWK/wav/arctic_a0499.wav,YKWK,Korean,M,and right there i saw and knew it all
who the devil gave it to you to be judge and jury,data/l2arctic/YKWK/wav/arctic_a0500.wav,YKWK,Korean,M,who the devil gave it to you to be judge and jury
youre joking me sir the other managed to articulate,data/l2arctic/YKWK/wav/arctic_a0501.wav,YKWK,Korean,M,you are joking me sir the other managed to articulate
anything unusual or abnormal was sufficient to send a fellow to molokai,data/l2arctic/YKWK/wav/arctic_a0502.wav,YKWK,Korean,M,anything unusual or abnormal was sufficient to send a fellow to molokai
his beady black eyes saw bargains where other men saw bankruptcy,data/l2arctic/YKWK/wav/arctic_a0503.wav,YKWK,Korean,M,his beady black eyes saw bargains where are the men saw bankruptcy
he was an athlete and a giant,data/l2arctic/YKWK/wav/arctic_a0504.wav,YKWK,Korean,M,he was an athlete and a giant
we fished sharks on niihau together,data/l2arctic/YKWK/wav/arctic_a0505.wav,YKWK,Korean,M,we fished sharks on the hall together
the claudine was leaving next morning for honolulu,data/l2arctic/YKWK/wav/arctic_a0506.wav,YKWK,Korean,M,the claudian was living next morning for honolulu
in short my joyous individualism was dominated by the orthodox bourgeois ethics,data/l2arctic/YKWK/wav/arctic_a0507.wav,YKWK,Korean,M,in short my joyous individual vision was dominated by the otharch's prosure ethics
soon shall it be thrust back from off prostrate humanity,data/l2arctic/YKWK/wav/arctic_a0508.wav,YKWK,Korean,M,soon shall it be thrust back from off prostrate humanity
yet in accordance with ernests test of truth it worked,data/l2arctic/YKWK/wav/arctic_a0509.wav,YKWK,Korean,M,yet in accordance with honest test of truth it worked
there is more behind this than a mere university ideal,data/l2arctic/YKWK/wav/arctic_a0511.wav,YKWK,Korean,M,there is more behind this than a mere university idear
no it is a palace wherein there are many servants,data/l2arctic/YKWK/wav/arctic_a0512.wav,YKWK,Korean,M,no it is of palace wherein there are many servants
we must give ourselves and not our money alone,data/l2arctic/YKWK/wav/arctic_a0513.wav,YKWK,Korean,M,we must give ourselves and not our money alone
we are consumed in our own flesh pots,data/l2arctic/YKWK/wav/arctic_a0514.wav,YKWK,Korean,M,we are consumed in our own flesh parts
but here amongst ourselves let us speak out,data/l2arctic/YKWK/wav/arctic_a0515.wav,YKWK,Korean,M,but here amongst ourselves let us speak out
also there was awe in their faces,data/l2arctic/YKWK/wav/arctic_a0516.wav,YKWK,Korean,M,or so towards all in their faces
out of abstractions ernest had conjured a vision and made them see it,data/l2arctic/YKWK/wav/arctic_a0517.wav,YKWK,Korean,M,out of abstractions earnest had a conjured division and made them see it
illuminating oil was becoming all profit,data/l2arctic/YKWK/wav/arctic_a0518.wav,YKWK,Korean,M,illuminating all was becoming all profit
such an act was in direct violation of the laws of the land,data/l2arctic/YKWK/wav/arctic_a0519.wav,YKWK,Korean,M,such an act was in direct violation of the laws of the land
he was fond of quoting a fragment from a certain poem,data/l2arctic/YKWK/wav/arctic_a0520.wav,YKWK,Korean,M,he was fond of quoting a fragment from a certain point
without them he could not run his empire,data/l2arctic/YKWK/wav/arctic_a0521.wav,YKWK,Korean,M,without them he could not run his empire
for such countries nothing remained but reorganization,data/l2arctic/YKWK/wav/arctic_a0522.wav,YKWK,Korean,M,for such countries nothing remained but real renunciation
they could not continue their method of producing surpluses,data/l2arctic/YKWK/wav/arctic_a0523.wav,YKWK,Korean,M,they could not continue their method of producing supplasses
at once would be instituted a dozen cooperative commonwealth states,data/l2arctic/YKWK/wav/arctic_a0524.wav,YKWK,Korean,M,at once would be instituted a dozen cooperative commonwealth states
the oligarchy wanted violence and it set its agents provocateurs to work,data/l2arctic/YKWK/wav/arctic_a0525.wav,YKWK,Korean,M,the oligarchy wanted violence and is said its agents provocative to work
nowhere did the raw earth appear,data/l2arctic/YKWK/wav/arctic_a0526.wav,YKWK,Korean,M,nowhere did the royal arts appear
men who endure it call it living death,data/l2arctic/YKWK/wav/arctic_a0528.wav,YKWK,Korean,M,men who endure it call it living death
as i say he had tapped the message very rapidly,data/l2arctic/YKWK/wav/arctic_a0529.wav,YKWK,Korean,M,as i say he had to tap the message very laputily
ask him i laughed then turned to pasquini,data/l2arctic/YKWK/wav/arctic_a0530.wav,YKWK,Korean,M,ask him i left then turned to paschinni
in what bucolic school of fence he had been taught was beyond imagining,data/l2arctic/YKWK/wav/arctic_a0531.wav,YKWK,Korean,M,in what bucolic school of fence he had been taught was beyond imagining
may drought destroy your crops,data/l2arctic/YKWK/wav/arctic_a0532.wav,YKWK,Korean,M,may trout destroy your crops
dunham can your boy go along with jesse,data/l2arctic/YKWK/wav/arctic_a0533.wav,YKWK,Korean,M,don't am can you a boy go along with the chests
but johannes could and did,data/l2arctic/YKWK/wav/arctic_a0534.wav,YKWK,Korean,M,but your hands could indeed
a new preacher and a new doctrine come to jerusalem,data/l2arctic/YKWK/wav/arctic_a0535.wav,YKWK,Korean,M,a new preacher and a new doctrine come to jerusalem
he would destroy all things that are fixed,data/l2arctic/YKWK/wav/arctic_a0536.wav,YKWK,Korean,M,he would destroy all things that are fixed
he was an enthusiast and a desert dweller,data/l2arctic/YKWK/wav/arctic_a0537.wav,YKWK,Korean,M,he was an enthusiast an a desert dweller
what pascal glimpsed with the vision of a seer i have lived,data/l2arctic/YKWK/wav/arctic_a0538.wav,YKWK,Korean,M,what pascal glint with the vision of a seer i have lived
i should like to engage just for one whole life in that,data/l2arctic/YKWK/wav/arctic_a0539.wav,YKWK,Korean,M,i should like to engage just for one whole life in that
yea so are all the lesser animals of today clean,data/l2arctic/YKWK/wav/arctic_a0540.wav,YKWK,Korean,M,yes saw all the less animals of to day clean
the warden with a quart of champagne,data/l2arctic/YKWK/wav/arctic_a0541.wav,YKWK,Korean,M,the warden with the court of champagne
without a doubt some of them have dinner engagements,data/l2arctic/YKWK/wav/arctic_a0542.wav,YKWK,Korean,M,without without some of them have dinner engagements
i had been born with no organic chemical predisposition toward alcohol,data/l2arctic/YKWK/wav/arctic_a0543.wav,YKWK,Korean,M,i had been born with no organic chemical predisposition toward alcohol
the italian rancho was a bachelor establishment,data/l2arctic/YKWK/wav/arctic_a0545.wav,YKWK,Korean,M,to you tell the adventure was a bachelor establishment
i lost my balance and pitched head foremost into the ooze,data/l2arctic/YKWK/wav/arctic_a0546.wav,YKWK,Korean,M,i lost my balance and pieced had foremost into the ooze
men like joe goose dated existence from drunk to drunk,data/l2arctic/YKWK/wav/arctic_a0547.wav,YKWK,Korean,M,men like john goose dated existence from trunk to trunk
also churches and preachers i had never known,data/l2arctic/YKWK/wav/arctic_a0548.wav,YKWK,Korean,M,although churches and preachers i had never known
do you know that we weigh every pound of coal we burn,data/l2arctic/YKWK/wav/arctic_a0549.wav,YKWK,Korean,M,do you know that we weigh every pound of a cold beeburn
this also became part of the daily schedule,data/l2arctic/YKWK/wav/arctic_a0550.wav,YKWK,Korean,M,this also became part of the daily schism
all an appearance can know is mirage,data/l2arctic/YKWK/wav/arctic_a0551.wav,YKWK,Korean,M,all an appearance can know is be right
yet he dreams he is immortal i argue feebly,data/l2arctic/YKWK/wav/arctic_a0552.wav,YKWK,Korean,M,yet he dreams he is immortal i argue feebly
i am writing these lines in honolulu hawaii,data/l2arctic/YKWK/wav/arctic_a0553.wav,YKWK,Korean,M,i am writing these lines in honolulu how i
jack london waikiki beach honolulu oahu,data/l2arctic/YKWK/wav/arctic_a0554.wav,YKWK,Korean,M,jack london or ikey cubits honolulu or wauwau
jerry was so secure in his nook that he did not roll away,data/l2arctic/YKWK/wav/arctic_a0555.wav,YKWK,Korean,M,cherry was so secure in his nook that he did not roll away
why hes bought forty pounds of goods from you already,data/l2arctic/YKWK/wav/arctic_a0556.wav,YKWK,Korean,M,why he bought forty pounds of goods from new orleans
the last refugee had passed,data/l2arctic/YKWK/wav/arctic_a0557.wav,YKWK,Korean,M,the last refuge he had passed
and the foundation stone of service in his case was obedience,data/l2arctic/YKWK/wav/arctic_a0558.wav,YKWK,Korean,M,and the foundation stone of service in his case was obedience
peace be unto you and grace before the lord,data/l2arctic/YKWK/wav/arctic_a0559.wav,YKWK,Korean,M,peace be unto you and grace before the lord
his mouth opened words shaped vainly on his lips,data/l2arctic/YKWK/wav/arctic_a0560.wav,YKWK,Korean,M,his mouth opened words shaped faintly on his lips
they are not regular oyster pirates nicholas continued,data/l2arctic/YKWK/wav/arctic_a0289.wav,YKWK,Korean,M,they are not regular oyster pirates the class continued
he was pressing beyond the limits of his vocabulary,data/l2arctic/YKWK/wav/arctic_a0306.wav,YKWK,Korean,M,he was pressing beyond the limits of his vocabulary
he considered the victory already his and stepped forward to the meat,data/l2arctic/YKWK/wav/arctic_a0323.wav,YKWK,Korean,M,he considered the victory already his and stepped forward to the meet
it was like the beating of hoofs,data/l2arctic/YKWK/wav/arctic_a0340.wav,YKWK,Korean,M,it was like the bidding of fools
a month passed by and bonanza creek remained quiet,data/l2arctic/YKWK/wav/arctic_a0357.wav,YKWK,Korean,M,a month passed by and whenever a creek remained quiet
but lifes worth more than cash she argued,data/l2arctic/YKWK/wav/arctic_a0374.wav,YKWK,Korean,M,but life's worth more than cash she argued
but he reconciled himself to it by an act of faith,data/l2arctic/YKWK/wav/arctic_a0391.wav,YKWK,Korean,M,but he reconciled himself to it by an act of faith
the eldorado emptied its occupants into the street to see the test,data/l2arctic/YKWK/wav/arctic_a0408.wav,YKWK,Korean,M,the el dorado emptied its occupants into the street to see the task
otherwise no restriction is put upon their seafaring,data/l2arctic/YKWK/wav/arctic_a0425.wav,YKWK,Korean,M,otherwise no restriction is put upon their seafaring
you live on an income which your father earned,data/l2arctic/YKWK/wav/arctic_a0442.wav,YKWK,Korean,M,you live on an income which your father earned
there was too much of the schoolboy in me,data/l2arctic/YKWK/wav/arctic_a0459.wav,YKWK,Korean,M,there was too much of the schoolboy in me
at this moment i felt a stir at my shoulder,data/l2arctic/YKWK/wav/arctic_a0476.wav,YKWK,Korean,M,at this moment i felt a stir at my shoulder
the boy obrien was specially maltreated,data/l2arctic/YKWK/wav/arctic_a0493.wav,YKWK,Korean,M,the boy of bryan was specially maltreated
much more ernest told them of themselves and of his disillusionment,data/l2arctic/YKWK/wav/arctic_a0510.wav,YKWK,Korean,M,much more honest told them of themselves and of his disillusionment
the lush vegetation of that sheltered spot make a natural shield,data/l2arctic/YKWK/wav/arctic_a0527.wav,YKWK,Korean,M,the lush vegetation of that sheltered spot make a natural shield
what the flaming,data/l2arctic/YKWK/wav/arctic_a0562.wav,YKWK,Korean,M,what a flaming
missus mcfees jaws brought together with a snap,data/l2arctic/YKWK/wav/arctic_a0563.wav,YKWK,Korean,M,missus macfia's jaw brought together with a snap
then it is as i said womble announced with finality,data/l2arctic/YKWK/wav/arctic_a0564.wav,YKWK,Korean,M,then it is as i said mumble announced with a finality
with them were indians also three other men,data/l2arctic/YKWK/wav/arctic_a0565.wav,YKWK,Korean,M,with them were indians also three other men
dennins hands were released long enough for him to sign the document,data/l2arctic/YKWK/wav/arctic_a0566.wav,YKWK,Korean,M,the union's hands were released long enough for him to sign the document
now irvine was a man of impulse a poet,data/l2arctic/YKWK/wav/arctic_a0567.wav,YKWK,Korean,M,now erbine was a man of empress a poet
he was just bursting with joy joy over what,data/l2arctic/YKWK/wav/arctic_a0568.wav,YKWK,Korean,M,he was just the bursting with joy joy over what
at lake linderman i had one canoe very good peterborough canoe,data/l2arctic/YKWK/wav/arctic_a0569.wav,YKWK,Korean,M,at lake lindemon i had once canoe very good pitt of raw canoe
behind him lay the thousand years long road across all siberia and russia,data/l2arctic/YKWK/wav/arctic_a0570.wav,YKWK,Korean,M,behind him lay the thousand years long road across all siberia and russia
he had forgotten to build a fire and thaw out,data/l2arctic/YKWK/wav/arctic_a0571.wav,YKWK,Korean,M,he had forgotten to peel the fire and thaw out
i never saw anything like her in my life,data/l2arctic/YKWK/wav/arctic_a0572.wav,YKWK,Korean,M,i never saw anything like her in my life
there was no law on the yukon save what they made for themselves,data/l2arctic/YKWK/wav/arctic_a0573.wav,YKWK,Korean,M,there was no law on the yukon save what they made for themselves
good business man curly obrien was saying,data/l2arctic/YKWK/wav/arctic_a0574.wav,YKWK,Korean,M,good business man collie a bryan was saying
there werent any missions and he was the man to know,data/l2arctic/YKWK/wav/arctic_a0575.wav,YKWK,Korean,M,there warned any missions and he was the man to know
and the big persian knew of his existence before he did of hers,data/l2arctic/YKWK/wav/arctic_a0576.wav,YKWK,Korean,M,and the big persian knew of his existence before he did of hers
once the jews harp began emitting its barbaric rhythms michael was helpless,data/l2arctic/YKWK/wav/arctic_a0577.wav,YKWK,Korean,M,once the jew's harp began emitting its barbaric readings michael was helpless
there was the emma louisa,data/l2arctic/YKWK/wav/arctic_a0579.wav,YKWK,Korean,M,there was the amalga legion
this is my fifth voyage,data/l2arctic/YKWK/wav/arctic_a0580.wav,YKWK,Korean,M,this is my fifth voice
it was this proposition that started the big idea in daughtrys mind,data/l2arctic/YKWK/wav/arctic_a0581.wav,YKWK,Korean,M,it was this proposition that started the big idea in dotry's mind
daughtry elaborated on the counting trick by bringing cocky along,data/l2arctic/YKWK/wav/arctic_a0582.wav,YKWK,Korean,M,dotry liberated on the counting trick by bringing khaki along
enjoy it he did but principally for stewards sake,data/l2arctic/YKWK/wav/arctic_a0583.wav,YKWK,Korean,M,enjoy it he did but principally for steward's sake
i have long noted your thirst unquenchable,data/l2arctic/YKWK/wav/arctic_a0584.wav,YKWK,Korean,M,i had long noted you a thirst unquenchable
wonder if hes a lion dog charles suggested,data/l2arctic/YKWK/wav/arctic_a0585.wav,YKWK,Korean,M,wonder if he's a lion dog charles suggested
we dont see ourselves as foolish,data/l2arctic/YKWK/wav/arctic_a0586.wav,YKWK,Korean,M,we don't see ourselves as foolish
he had comparatively no advantages at first,data/l2arctic/YKWK/wav/arctic_a0587.wav,YKWK,Korean,M,he had comparatively known the fantasies at first
he had proved it today with his amateurish and sophomoric productions,data/l2arctic/YKWK/wav/arctic_a0588.wav,YKWK,Korean,M,he had proved it day with his amateuries and sophomorey productions
i was sick once typhoid,data/l2arctic/YKWK/wav/arctic_a0589.wav,YKWK,Korean,M,i was sick once typhoid
in a way he is my protege,data/l2arctic/YKWK/wav/arctic_a0590.wav,YKWK,Korean,M,in a way he is my protege
we are both children together,data/l2arctic/YKWK/wav/arctic_a0591.wav,YKWK,Korean,M,we are both children together
its only his indigestion i find fault with,data/l2arctic/YKWK/wav/arctic_a0592.wav,YKWK,Korean,M,is only his indigestion i find forthwith
shed make a good wife for the cashier,data/l2arctic/YKWK/wav/arctic_a0593.wav,YKWK,Korean,M,should make a good wife for the cashier
gad do i remember it,data/l2arctic/YKWK/wav/arctic_b0001.wav,YKWK,Korean,M,yet do i remember it
i can see that knife now,data/l2arctic/YKWK/wav/arctic_b0003.wav,YKWK,Korean,M,i can see the knife now
when i cant see beauty in woman i want to die,data/l2arctic/YKWK/wav/arctic_b0004.wav,YKWK,Korean,M,when i can see beauty in woman i want to die
his slim fingers closed like steel about philips,data/l2arctic/YKWK/wav/arctic_b0005.wav,YKWK,Korean,M,his slim fingers closed lie still about philip's
he seized gregson by the arm and led him to the door,data/l2arctic/YKWK/wav/arctic_b0006.wav,YKWK,Korean,M,he seized the correction by the arm and led him to the door
hear the indian dogs wailing down at churchill,data/l2arctic/YKWK/wav/arctic_b0007.wav,YKWK,Korean,M,here the indian dogs wailing down at churchill
burke himself had criticized it because of the smile,data/l2arctic/YKWK/wav/arctic_b0008.wav,YKWK,Korean,M,burke himself had criticised it because of the smile
id say there was going to be a glorious scrap,data/l2arctic/YKWK/wav/arctic_b0009.wav,YKWK,Korean,M,i to say there was going to be a glorious scrap
he turned the map to gregson pointing with his finger,data/l2arctic/YKWK/wav/arctic_b0010.wav,YKWK,Korean,M,he turned the map to grexen pointing with his finger
his eyes never took themselves for an instant from his companions face,data/l2arctic/YKWK/wav/arctic_b0011.wav,YKWK,Korean,M,his eyes never took themselves for an instant from his companion's face
something that whittemore had not yet said thrilled him,data/l2arctic/YKWK/wav/arctic_b0012.wav,YKWK,Korean,M,something that whitmore had not yet said thrilled him
whitefish gregson whitefish and trout,data/l2arctic/YKWK/wav/arctic_b0014.wav,YKWK,Korean,M,white fists cracks and white fists and trout
they robbed me a few years later,data/l2arctic/YKWK/wav/arctic_b0015.wav,YKWK,Korean,M,he robbed me of a few years later
he chuckled as he pulled out his pipe and began filling it,data/l2arctic/YKWK/wav/arctic_b0016.wav,YKWK,Korean,M,he chuckled as he pulled out his pipe and began filling it
everything was working smoothly better than i had expected,data/l2arctic/YKWK/wav/arctic_b0017.wav,YKWK,Korean,M,everything was working smoothly better than i had expected
i was completely lost in my work,data/l2arctic/YKWK/wav/arctic_b0018.wav,YKWK,Korean,M,i was completely lost in my work
