transcription,path_to_audio,speaker_id,native_language,gender,sewd_tiny_transcriptions
there is more behind this than a mere university ideal,data/l2arctic/YDCK/wav/arctic_a0511.wav,YDCK,Korean,F,theres more behind this than a mere university idear
no it is a palace wherein there are many servants,data/l2arctic/YDCK/wav/arctic_a0512.wav,YDCK,Korean,F,no it is a palace reare in there a many servants
we must give ourselves and not our money alone,data/l2arctic/YDCK/wav/arctic_a0513.wav,YDCK,Korean,F,we must give our soves and not our money alone
we are consumed in our own flesh pots,data/l2arctic/YDCK/wav/arctic_a0514.wav,YDCK,Korean,F,we are consumed in our own flash puts
but here amongst ourselves let us speak out,data/l2arctic/YDCK/wav/arctic_a0515.wav,YDCK,Korean,F,but here amongst our solves let us peak out
also there was awe in their faces,data/l2arctic/YDCK/wav/arctic_a0516.wav,YDCK,Korean,F,or tho dere was awe in their faces
out of abstractions ernest had conjured a vision and made them see it,data/l2arctic/YDCK/wav/arctic_a0517.wav,YDCK,Korean,F,od of absurections earnest had condored avesion and mad demsit
illuminating oil was becoming all profit,data/l2arctic/YDCK/wav/arctic_a0518.wav,YDCK,Korean,F,illuminating oil was becoming all profet
such an act was in direct violation of the laws of the land,data/l2arctic/YDCK/wav/arctic_a0519.wav,YDCK,Korean,F,such an act was in direct birelation up the laws op the land
he was fond of quoting a fragment from a certain poem,data/l2arctic/YDCK/wav/arctic_a0520.wav,YDCK,Korean,F,he was fund off coading of fragament from a certain point
without them he could not run his empire,data/l2arctic/YDCK/wav/arctic_a0521.wav,YDCK,Korean,F,withoudam he could not bon his empire
for such countries nothing remained but reorganization,data/l2arctic/YDCK/wav/arctic_a0522.wav,YDCK,Korean,F,for such countries nothing remained but be orgonigation
they could not continue their method of producing surpluses,data/l2arctic/YDCK/wav/arctic_a0523.wav,YDCK,Korean,F,they could not continue their mathod a producing surpulises
at once would be instituted a dozen cooperative commonwealth states,data/l2arctic/YDCK/wav/arctic_a0524.wav,YDCK,Korean,F,at once would be institudy to a dozen cuorpolife comon welfh estates
the oligarchy wanted violence and it set its agents provocateurs to work,data/l2arctic/YDCK/wav/arctic_a0525.wav,YDCK,Korean,F,the only golk chi wanied violes and is sad its azens proboqaturs to work
nowhere did the raw earth appear,data/l2arctic/YDCK/wav/arctic_a0526.wav,YDCK,Korean,F,no where dig thatraw of appeer
men who endure it call it living death,data/l2arctic/YDCK/wav/arctic_a0528.wav,YDCK,Korean,F,man who endure it call it living death
as i say he had tapped the message very rapidly,data/l2arctic/YDCK/wav/arctic_a0529.wav,YDCK,Korean,F,as i say he had tapped a masses very repidaly
ask him i laughed then turned to pasquini,data/l2arctic/YDCK/wav/arctic_a0530.wav,YDCK,Korean,F,askig i laped then tone two pasquini
in what bucolic school of fence he had been taught was beyond imagining,data/l2arctic/YDCK/wav/arctic_a0531.wav,YDCK,Korean,F,in what pucolic school of fez he had been taught was beyond imagining
may drought destroy your crops,data/l2arctic/YDCK/wav/arctic_a0532.wav,YDCK,Korean,F,may drout destroy your crops
dunham can your boy go along with jesse,data/l2arctic/YDCK/wav/arctic_a0533.wav,YDCK,Korean,F,done him can your boy go along with jess
but johannes could and did,data/l2arctic/YDCK/wav/arctic_a0534.wav,YDCK,Korean,F,but johanna kit and dit
a new preacher and a new doctrine come to jerusalem,data/l2arctic/YDCK/wav/arctic_a0535.wav,YDCK,Korean,F,a new preacher and a new doctorine comtu juisalin
he would destroy all things that are fixed,data/l2arctic/YDCK/wav/arctic_a0536.wav,YDCK,Korean,F,ho destroy all things that are fixed
he was an enthusiast and a desert dweller,data/l2arctic/YDCK/wav/arctic_a0537.wav,YDCK,Korean,F,he was an anthusaskd an a dejurt dweller
what pascal glimpsed with the vision of a seer i have lived,data/l2arctic/YDCK/wav/arctic_a0538.wav,YDCK,Korean,F,what pasco glimmsed with the beason of a seer i have lived
i should like to engage just for one whole life in that,data/l2arctic/YDCK/wav/arctic_a0539.wav,YDCK,Korean,F,i a shoid like to engage us for one whole life in that
yea so are all the lesser animals of today clean,data/l2arctic/YDCK/wav/arctic_a0540.wav,YDCK,Korean,F,ya so are all delasser animals of today clein
the warden with a quart of champagne,data/l2arctic/YDCK/wav/arctic_a0541.wav,YDCK,Korean,F,the worgin wi a court of campaigned
without a doubt some of them have dinner engagements,data/l2arctic/YDCK/wav/arctic_a0542.wav,YDCK,Korean,F,witdhout a doubt some updem hapdeiner engagements
i had been born with no organic chemical predisposition toward alcohol,data/l2arctic/YDCK/wav/arctic_a0543.wav,YDCK,Korean,F,i had been born with no organni camicl predisbugish an toward achol
the italian rancho was a bachelor establishment,data/l2arctic/YDCK/wav/arctic_a0545.wav,YDCK,Korean,F,detalian rencho was of vetelor establishment
i lost my balance and pitched head foremost into the ooze,data/l2arctic/YDCK/wav/arctic_a0546.wav,YDCK,Korean,F,i lost my balats and pitchet had formost into the oos
men like joe goose dated existence from drunk to drunk,data/l2arctic/YDCK/wav/arctic_a0547.wav,YDCK,Korean,F,men like jall goos daded existence from drunk to drunk
also churches and preachers i had never known,data/l2arctic/YDCK/wav/arctic_a0548.wav,YDCK,Korean,F,also churches and preachers i had never known
do you know that we weigh every pound of coal we burn,data/l2arctic/YDCK/wav/arctic_a0549.wav,YDCK,Korean,F,do you know that we way every pound of coal we burn
this also became part of the daily schedule,data/l2arctic/YDCK/wav/arctic_a0550.wav,YDCK,Korean,F,disalso became pot up ta dailiscagel
all an appearance can know is mirage,data/l2arctic/YDCK/wav/arctic_a0551.wav,YDCK,Korean,F,all an apperionse can know its meroge
yet he dreams he is immortal i argue feebly,data/l2arctic/YDCK/wav/arctic_a0552.wav,YDCK,Korean,F,yette dreams he's immotal i argu feeblly
im writing these lines in honolulu hawaii,data/l2arctic/YDCK/wav/arctic_a0553.wav,YDCK,Korean,F,i am riding dislines in homorulu hoi
jack london waikiki beach honolulu oahu,data/l2arctic/YDCK/wav/arctic_a0554.wav,YDCK,Korean,F,jecq london whitiqui bidge honobolu ohow
jerry was so secure in his nook that he did not roll away,data/l2arctic/YDCK/wav/arctic_a0555.wav,YDCK,Korean,F,jerry was so securer in his nuke that hit did not rall away
why hes bought forty pounds of goods from you already,data/l2arctic/YDCK/wav/arctic_a0556.wav,YDCK,Korean,F,why his bot forty pounds ofe goods from you already
the last refugee had passed,data/l2arctic/YDCK/wav/arctic_a0557.wav,YDCK,Korean,F,the last refus had passed
and the foundation stone of service in his case was obedience,data/l2arctic/YDCK/wav/arctic_a0558.wav,YDCK,Korean,F,and the foundation stone of serviuce in his case was obedience
peace be unto you and grace before the lord,data/l2arctic/YDCK/wav/arctic_a0559.wav,YDCK,Korean,F,peasebe on to you and grace before the lord
his mouth opened words shaped vainly on his lips,data/l2arctic/YDCK/wav/arctic_a0560.wav,YDCK,Korean,F,his mouse opened word shaped vainly on his lips
they are not regular oyster pirates nicholas continued,data/l2arctic/YDCK/wav/arctic_a0289.wav,YDCK,Korean,F,they are not regular oyster pirates nicholus continued
he was pressing beyond the limits of his vocabulary,data/l2arctic/YDCK/wav/arctic_a0306.wav,YDCK,Korean,F,he was pressing beyond the limits of his focabalary
he considered the victory already his and stepped forward to the meat,data/l2arctic/YDCK/wav/arctic_a0323.wav,YDCK,Korean,F,he considerd the victorya ready hes and stepped forwar to the mit
it was like the beating of hoofs,data/l2arctic/YDCK/wav/arctic_a0340.wav,YDCK,Korean,F,euas like the beating of hoopse
a month passed by and bonanza creek remained quiet,data/l2arctic/YDCK/wav/arctic_a0357.wav,YDCK,Korean,F,a month passed aby an wonenga cracke remained acquiet
but lifes worth more than cash she argued,data/l2arctic/YDCK/wav/arctic_a0374.wav,YDCK,Korean,F,be lipes worth more than cash she argued
but he reconciled himself to it by an act of faith,data/l2arctic/YDCK/wav/arctic_a0391.wav,YDCK,Korean,F,but he reconseld himselve to it by an activ faith
the eldorado emptied its occupants into the street to see the test,data/l2arctic/YDCK/wav/arctic_a0408.wav,YDCK,Korean,F,the elderado ampted is occupancs into the street to see the test
otherwise no restriction is put upon their seafaring,data/l2arctic/YDCK/wav/arctic_a0425.wav,YDCK,Korean,F,otherwise no restriction is put a ponder sea fairing
you live on an income which your father earned,data/l2arctic/YDCK/wav/arctic_a0442.wav,YDCK,Korean,F,you leave on an income which your father arned
theres too much of the schoolboy in me,data/l2arctic/YDCK/wav/arctic_a0459.wav,YDCK,Korean,F,there's too much out the school boy in me
at this moment i felt a stir at my shoulder,data/l2arctic/YDCK/wav/arctic_a0476.wav,YDCK,Korean,F,a dismoment i fell te stur an my shorder
the boy obrien was specially maltreated,data/l2arctic/YDCK/wav/arctic_a0493.wav,YDCK,Korean,F,the boy of rian was specially reltrated
much more ernest told them of themselves and of his disillusionment,data/l2arctic/YDCK/wav/arctic_a0510.wav,YDCK,Korean,F,much more honist told them of themselves and of his dhis illusenment
the lush vegetation of that sheltered spot make a natural shield,data/l2arctic/YDCK/wav/arctic_a0527.wav,YDCK,Korean,F,the lush vegitation of that shetered spot make a natural shield
what the flaming,data/l2arctic/YDCK/wav/arctic_a0562.wav,YDCK,Korean,F,what deflamming
missus mcfees jaws brought together with a snap,data/l2arctic/YDCK/wav/arctic_a0563.wav,YDCK,Korean,F,missis meccpe's sause brought together we de snep
then it is as i said womble announced with finality,data/l2arctic/YDCK/wav/arctic_a0564.wav,YDCK,Korean,F,then it is as i sat umble announced wit finolity
with them were indians also three other men,data/l2arctic/YDCK/wav/arctic_a0565.wav,YDCK,Korean,F,with dambor indians also three other men
dennins hands were released long enough for him to sign the document,data/l2arctic/YDCK/wav/arctic_a0566.wav,YDCK,Korean,F,danin's hands were released long enough for him to sign the document
now irvine was a man of impulse a poet,data/l2arctic/YDCK/wav/arctic_a0567.wav,YDCK,Korean,F,now aren was a man up impurse apoint
he was just bursting with joy joy over what,data/l2arctic/YDCK/wav/arctic_a0568.wav,YDCK,Korean,F,he was just bursting with joy joy over what
at lake linderman i had one canoe very good peterborough canoe,data/l2arctic/YDCK/wav/arctic_a0569.wav,YDCK,Korean,F,at like linder men i had once canew very good pular boro canoo
behind him lay the thousand years long road across all siberia and russia,data/l2arctic/YDCK/wav/arctic_a0570.wav,YDCK,Korean,F,behind ham lay destaldum ears long roade across all sibaria and brosa
he had forgotten to build a fire and thaw out,data/l2arctic/YDCK/wav/arctic_a0571.wav,YDCK,Korean,F,yet forgotten to build e fire and throw out
i never saw anything like her in my life,data/l2arctic/YDCK/wav/arctic_a0572.wav,YDCK,Korean,F,i never though anything like her in my life
there was no law on the yukon save what they made for themselves,data/l2arctic/YDCK/wav/arctic_a0573.wav,YDCK,Korean,F,there is no law on the youkan save what they made for themselves
good business man curly obrien was saying,data/l2arctic/YDCK/wav/arctic_a0574.wav,YDCK,Korean,F,goo business man coly obryon was saying
there werent any missions and he was the man to know,data/l2arctic/YDCK/wav/arctic_a0575.wav,YDCK,Korean,F,they are want to ani misions and he was the man to know
and the big persian knew of his existence before he did of hers,data/l2arctic/YDCK/wav/arctic_a0576.wav,YDCK,Korean,F,and the big persian knew of his existence before he deed of hers
once the jews harp began emitting its barbaric rhythms michael was helpless,data/l2arctic/YDCK/wav/arctic_a0577.wav,YDCK,Korean,F,once daw jews harp begin imeeting is brebatic breedoms mychal was helpless
there was the emma louisa,data/l2arctic/YDCK/wav/arctic_a0579.wav,YDCK,Korean,F,der woste emma breeza
this is my fifth voyage,data/l2arctic/YDCK/wav/arctic_a0580.wav,YDCK,Korean,F,disis my fisboage
it was this proposition that started the big idea in daughtrys mind,data/l2arctic/YDCK/wav/arctic_a0581.wav,YDCK,Korean,F,it was this proposition that started the big idea in doteris mind
daughtry elaborated on the counting trick by bringing cocky along,data/l2arctic/YDCK/wav/arctic_a0582.wav,YDCK,Korean,F,to tree eleverated on the counten trick by bringing cocky along
enjoy it he did but principally for stewards sake,data/l2arctic/YDCK/wav/arctic_a0583.wav,YDCK,Korean,F,enjoy it he did but principally for stear's fake
i have long noted your thirst unquenchable,data/l2arctic/YDCK/wav/arctic_a0584.wav,YDCK,Korean,F,i have long notied to your thirst unquaintable
wonder if hes a lion dog charles suggested,data/l2arctic/YDCK/wav/arctic_a0585.wav,YDCK,Korean,F,wonder if his alion dock chars suggested
we dont see ourselves as foolish,data/l2arctic/YDCK/wav/arctic_a0586.wav,YDCK,Korean,F,we don't see ourselves as foolish
he had comparatively no advantages at first,data/l2arctic/YDCK/wav/arctic_a0587.wav,YDCK,Korean,F,he had compatitubely no adebanagis at first
he had proved it today with his amateurish and sophomoric productions,data/l2arctic/YDCK/wav/arctic_a0588.wav,YDCK,Korean,F,he had proved it to day with his omo to rich and supamoric productions
i was sick once typhoid,data/l2arctic/YDCK/wav/arctic_a0589.wav,YDCK,Korean,F,i was sick once typepoit
in a way he is my protege,data/l2arctic/YDCK/wav/arctic_a0590.wav,YDCK,Korean,F,in a way hee's my protach
we are both children together,data/l2arctic/YDCK/wav/arctic_a0591.wav,YDCK,Korean,F,we are both children together
its only his indigestion i find fault with,data/l2arctic/YDCK/wav/arctic_a0592.wav,YDCK,Korean,F,is only his in digestion i found faltwit
shed make a good wife for the cashier,data/l2arctic/YDCK/wav/arctic_a0593.wav,YDCK,Korean,F,should make a good wife or dhecicier
gad do i remember it,data/l2arctic/YDCK/wav/arctic_b0001.wav,YDCK,Korean,F,gat dri rememberit
i can see that knife now,data/l2arctic/YDCK/wav/arctic_b0003.wav,YDCK,Korean,F,i can seed at knife now
when i cant see beauty in woman i want to die,data/l2arctic/YDCK/wav/arctic_b0004.wav,YDCK,Korean,F,when i can seey beauty in woman i want to die
his slim fingers closed like steel about philips,data/l2arctic/YDCK/wav/arctic_b0005.wav,YDCK,Korean,F,his slam fingers close like still about phillips
he seized gregson by the arm and led him to the door,data/l2arctic/YDCK/wav/arctic_b0006.wav,YDCK,Korean,F,hi seizzed grake sin by their am and led him to the door
hear the indian dogs wailing down at churchill,data/l2arctic/YDCK/wav/arctic_b0007.wav,YDCK,Korean,F,here the indiand dokx waiting down at church hill
burke himself had criticized it because of the smile,data/l2arctic/YDCK/wav/arctic_b0008.wav,YDCK,Korean,F,burk himself had creticized it because uf the smile
id say there was going to be a glorious scrap,data/l2arctic/YDCK/wav/arctic_b0009.wav,YDCK,Korean,F,i say there was going to be a glorious great
he turned the map to gregson pointing with his finger,data/l2arctic/YDCK/wav/arctic_b0010.wav,YDCK,Korean,F,he tunned the map to graksen point to me to his finger
his eyes never took themselves for an instant from his companions face,data/l2arctic/YDCK/wav/arctic_b0011.wav,YDCK,Korean,F,hese eyes never took themselves for an instant from his companion's face
something that whittemore had not yet said thrilled him,data/l2arctic/YDCK/wav/arctic_b0012.wav,YDCK,Korean,F,something that witermore had not yet sat thrul do him
whitefish gregson whitefish and trout,data/l2arctic/YDCK/wav/arctic_b0014.wav,YDCK,Korean,F,white fish grakeson white fish and trout
they robbed me a few years later,data/l2arctic/YDCK/wav/arctic_b0015.wav,YDCK,Korean,F,they robbbed me a few years later
he chuckled as he pulled out his pipe and began filling it,data/l2arctic/YDCK/wav/arctic_b0016.wav,YDCK,Korean,F,he chuckled as he pulled out his pife and began filling it
everything was working smoothly better than i had expected,data/l2arctic/YDCK/wav/arctic_b0017.wav,YDCK,Korean,F,everything was working smoothly better than i had expected
i was completely lost in my work,data/l2arctic/YDCK/wav/arctic_b0018.wav,YDCK,Korean,F,i was completely lost in my work
his slim hands gripped the edges of the table,data/l2arctic/YDCK/wav/arctic_b0019.wav,YDCK,Korean,F,his sleam hands greeped the adges of the table
philip dropped back into his chair,data/l2arctic/YDCK/wav/arctic_b0021.wav,YDCK,Korean,F,pilly dropped back into his chair
if i was out of the game it would be easily made,data/l2arctic/YDCK/wav/arctic_b0022.wav,YDCK,Korean,F,if i was out of the game it would be easily made
macdougall my engineer believes it,data/l2arctic/YDCK/wav/arctic_b0023.wav,YDCK,Korean,F,micdakl my endineer believes it
it is growing every day every hour,data/l2arctic/YDCK/wav/arctic_b0024.wav,YDCK,Korean,F,it is going every day every hour
now you understand,data/l2arctic/YDCK/wav/arctic_b0025.wav,YDCK,Korean,F,now you understand
you have associated with some of these men,data/l2arctic/YDCK/wav/arctic_b0026.wav,YDCK,Korean,F,you have associated with some up these men
and theres no chivalry no quarter shown in this fight,data/l2arctic/YDCK/wav/arctic_b0027.wav,YDCK,Korean,F,and there's no shivali no quarter shown in disfight
lord fitzhugh is the key to the whole situation,data/l2arctic/YDCK/wav/arctic_b0028.wav,YDCK,Korean,F,lord fijaq is to keyt to the whole situration
all operations have been carried on from montreal and toronto,data/l2arctic/YDCK/wav/arctic_b0029.wav,YDCK,Korean,F,all opparations have been carried on from muntriol and terento
gregson held a lighted match until it burnt his fingertips,data/l2arctic/YDCK/wav/arctic_b0030.wav,YDCK,Korean,F,grakeson how delighted match until it burnt his finger tips
gregson had seated himself under the lamp and was sharpening a pencil,data/l2arctic/YDCK/wav/arctic_b0031.wav,YDCK,Korean,F,grakson had sitted himself under the lamp and was sharperning a pencil
he caught himself with a jerk,data/l2arctic/YDCK/wav/arctic_b0032.wav,YDCK,Korean,F,he caught himself with do jurt
how does your wager look now,data/l2arctic/YDCK/wav/arctic_b0033.wav,YDCK,Korean,F,how does your waz your out look now
he confessed that the sketch had startled him,data/l2arctic/YDCK/wav/arctic_b0034.wav,YDCK,Korean,F,he confassed that the skatch had starteed him
after all the picture was only a resemblance,data/l2arctic/YDCK/wav/arctic_b0035.wav,YDCK,Korean,F,after all the picture was only a resembrance
he wondered too where roscoe was,data/l2arctic/YDCK/wav/arctic_b0036.wav,YDCK,Korean,F,he wonder two where rosko was
in her haste to get away she had forgotten these things,data/l2arctic/YDCK/wav/arctic_b0038.wav,YDCK,Korean,F,in ur haste to get away she had forgoden dit things
philip took a step toward gregson half determined to awaken him,data/l2arctic/YDCK/wav/arctic_b0039.wav,YDCK,Korean,F,philip took a stap toward gracson half determined to awaken him
the thought set his blood tingling,data/l2arctic/YDCK/wav/arctic_b0040.wav,YDCK,Korean,F,tethot sad is blood tingling
but if pierre did not return until tomorrow,data/l2arctic/YDCK/wav/arctic_b0041.wav,YDCK,Korean,F,but if per did na riton until to morrow
ten minutes had not elapsed since he had dropped the handkerchief,data/l2arctic/YDCK/wav/arctic_b0042.wav,YDCK,Korean,F,tem minutes had not elapsed since he had dropped to handkerchief
it wont be for sale,data/l2arctic/YDCK/wav/arctic_b0043.wav,YDCK,Korean,F,it want bes forsail
for a few moments he ate in silence,data/l2arctic/YDCK/wav/arctic_b0044.wav,YDCK,Korean,F,for a few moments he aied in silence
philip did not pursue the subject,data/l2arctic/YDCK/wav/arctic_b0045.wav,YDCK,Korean,F,phillip did not pursute the subject
philip produced a couple of cigars and took a chair opposite him,data/l2arctic/YDCK/wav/arctic_b0046.wav,YDCK,Korean,F,phillic produced a couple of segrs and took a chair aposit him
suppose you saw me at work through the window,data/l2arctic/YDCK/wav/arctic_b0047.wav,YDCK,Korean,F,supposeog you sow me at work through the window
he looked like one who had passed through an uncomfortable hour or two,data/l2arctic/YDCK/wav/arctic_b0048.wav,YDCK,Korean,F,he looked like one who had passed through an uncomfortable hour or two
there was nothing more except a large ink blot under the words,data/l2arctic/YDCK/wav/arctic_b0049.wav,YDCK,Korean,F,there was nothing more except a large ank bloot under the words
all this day gregson remained in the cabin,data/l2arctic/YDCK/wav/arctic_b0050.wav,YDCK,Korean,F,all distay grakes and remained in the cabin
the sixth day he spent in the cabin with gregson,data/l2arctic/YDCK/wav/arctic_b0051.wav,YDCK,Korean,F,the thicks day he spend in the cabin wid grakson
the flush was gone from her face,data/l2arctic/YDCK/wav/arctic_b0052.wav,YDCK,Korean,F,the flush was gone from her face
that is why i am am rattled he laughed,data/l2arctic/YDCK/wav/arctic_b0053.wav,YDCK,Korean,F,that is why i am am raddled he wrept
she was even more beautiful than when i saw her before,data/l2arctic/YDCK/wav/arctic_b0055.wav,YDCK,Korean,F,she was even more beautiful than when i saw her before
ill give a thousand if you produce her retorted gregson,data/l2arctic/YDCK/wav/arctic_b0056.wav,YDCK,Korean,F,i will give a thousand if you produce her retorted grakson
they have won popular sentiment through the newspapers,data/l2arctic/YDCK/wav/arctic_b0057.wav,YDCK,Korean,F,they have wone popular sentimen through the newspapers
we must achieve our own salvation,data/l2arctic/YDCK/wav/arctic_b0058.wav,YDCK,Korean,F,we must achieve our own salvation
in moments of mental energy philip was restless,data/l2arctic/YDCK/wav/arctic_b0059.wav,YDCK,Korean,F,in moments of mental annersyp thilip was restiless
he would keep his faith with gregson for the promised day or two,data/l2arctic/YDCK/wav/arctic_b0060.wav,YDCK,Korean,F,heeld kip his face with grakeson for the promised a day or to
something about it seemed to fascinate him to challenge his presence,data/l2arctic/YDCK/wav/arctic_b0061.wav,YDCK,Korean,F,something about is seemed to fescinate him to chellenge his presence
now it was missing from the wall,data/l2arctic/YDCK/wav/arctic_b0062.wav,YDCK,Korean,F,now it was missing from the war
he boiled himself some coffee and sat down to wait,data/l2arctic/YDCK/wav/arctic_b0063.wav,YDCK,Korean,F,he bolled himselve some colfee and set down to weit
im going down there with you and im going to fight,data/l2arctic/YDCK/wav/arctic_b0064.wav,YDCK,Korean,F,i'm going down there widyou and i'm going to fight
now have you got anything to say against me mister philip,data/l2arctic/YDCK/wav/arctic_b0065.wav,YDCK,Korean,F,now have you got anything to say against me mister philit
if i meet her again i shall apologize said eileen,data/l2arctic/YDCK/wav/arctic_b0066.wav,YDCK,Korean,F,if i meet her again i shall apologise said i lean
below him the shadow was broken into a pool of rippling starlight,data/l2arctic/YDCK/wav/arctic_b0067.wav,YDCK,Korean,F,below him the sheadow was broken into pull of reepling stot light
only the chance sound had led him to observe them,data/l2arctic/YDCK/wav/arctic_b0068.wav,YDCK,Korean,F,only te trense sound ahat laddimg to obsurbe them
could the incident have anything to do with jeanne and pierre,data/l2arctic/YDCK/wav/arctic_b0069.wav,YDCK,Korean,F,could the incident have anything to do wit jennine am per
there was no chance to fire without hitting him,data/l2arctic/YDCK/wav/arctic_b0070.wav,YDCK,Korean,F,dere is no chance to fiure without heating him
then he hastened on as pierre had guided him,data/l2arctic/YDCK/wav/arctic_b0072.wav,YDCK,Korean,F,then he hastened on as peer had skuided him
with these arguments he convinced himself that he should go on alone,data/l2arctic/YDCK/wav/arctic_b0073.wav,YDCK,Korean,F,with these arguments he convine himself that he should go on alone
yet behind them there was another and more powerful motive,data/l2arctic/YDCK/wav/arctic_b0074.wav,YDCK,Korean,F,yet behind them there was another and more powerful motive
in that case he could not miss them if he used caution,data/l2arctic/YDCK/wav/arctic_b0075.wav,YDCK,Korean,F,in deccase he could not miss them if he used caution
before philip could recover himself jeannes startled guards were upon him,data/l2arctic/YDCK/wav/arctic_b0076.wav,YDCK,Korean,F,before philip could recovre himself jennines tartol gars were upone him
it is the nearest refuge,data/l2arctic/YDCK/wav/arctic_b0077.wav,YDCK,Korean,F,it is deneares refusi
there was pride and strength the ring of triumph in his voice,data/l2arctic/YDCK/wav/arctic_b0078.wav,YDCK,Korean,F,there was pride and strength the ring of triumph in his voice
the truth of it set jeanne quivering,data/l2arctic/YDCK/wav/arctic_b0079.wav,YDCK,Korean,F,thou true savet sait junine cevering
tomorrow it will be strong enough for you to stand upon,data/l2arctic/YDCK/wav/arctic_b0080.wav,YDCK,Korean,F,to morrow itill be strong enough for you to stand a pone
you were going to leave after you saw me on the rock,data/l2arctic/YDCK/wav/arctic_b0081.wav,YDCK,Korean,F,you are going to leave after you so me on the rock
he bit his tongue and cursed himself at this fresh break,data/l2arctic/YDCK/wav/arctic_b0082.wav,YDCK,Korean,F,he beatd his tongue and cursed himself at disfresh break
in it there was something that was almost tragedy,data/l2arctic/YDCK/wav/arctic_b0083.wav,YDCK,Korean,F,any dear was something that was almost treaserdy
your face is red with blood,data/l2arctic/YDCK/wav/arctic_b0084.wav,YDCK,Korean,F,your face is ratwid blood
her eyes smiled truth at him as he came up the bank,data/l2arctic/YDCK/wav/arctic_b0085.wav,YDCK,Korean,F,her eyes smiled throuth and him as he came up the bank
he can care for himself,data/l2arctic/YDCK/wav/arctic_b0086.wav,YDCK,Korean,F,he cant care for himself
they will search for us between their camp and churchill,data/l2arctic/YDCK/wav/arctic_b0087.wav,YDCK,Korean,F,they will search for os between deir camp and church hill
her beautiful hair was done up in shining coils,data/l2arctic/YDCK/wav/arctic_b0089.wav,YDCK,Korean,F,her beautiful hair was done up in shining coils
the churchill narrowed and its current became swifter as they progressed,data/l2arctic/YDCK/wav/arctic_b0090.wav,YDCK,Korean,F,the churchial narrowed and iscorumn became swifter as ta progressed
for a full half minute jeanne looked at him without speaking,data/l2arctic/YDCK/wav/arctic_b0091.wav,YDCK,Korean,F,for a fool half minute gonian looked at him withall speaking
i want to die in it,data/l2arctic/YDCK/wav/arctic_b0092.wav,YDCK,Korean,F,i want to die in it
darkness hid him from jeanne,data/l2arctic/YDCK/wav/arctic_b0093.wav,YDCK,Korean,F,darkness hidden from genin
and yet if she came he had no words to say,data/l2arctic/YDCK/wav/arctic_b0094.wav,YDCK,Korean,F,and yet if she came he had no worse to say
he heard a sound which brought him quickly into consciousness of day,data/l2arctic/YDCK/wav/arctic_b0095.wav,YDCK,Korean,F,he heard the sound which brought him crickklly into consciousness of day
within himself he called it no longer his own,data/l2arctic/YDCK/wav/arctic_b0096.wav,YDCK,Korean,F,widdin himself he cold it no longer his own
besides that noise makes me deaf,data/l2arctic/YDCK/wav/arctic_b0097.wav,YDCK,Korean,F,besides the nose makes me death
philip looked back from the crest and saw jeanne leaning over the canoe,data/l2arctic/YDCK/wav/arctic_b0098.wav,YDCK,Korean,F,philip looked back from the crast and saw to nin leaning over the canoe
fifty yards ahead of her were the first of the rocks,data/l2arctic/YDCK/wav/arctic_b0099.wav,YDCK,Korean,F,fifty yars a had of a heur were the first of the rocks
there was one chance and only one of saving jeanne,data/l2arctic/YDCK/wav/arctic_b0100.wav,YDCK,Korean,F,there was one trance an only one of saving junine
youre a devil for fighting and will surely win,data/l2arctic/YDCK/wav/arctic_b0101.wav,YDCK,Korean,F,you're a double for fighting and will sruely win
i will only be in the way,data/l2arctic/YDCK/wav/arctic_b0102.wav,YDCK,Korean,F,our only be in deway
he lifted his eyes and a strange cry burst from his lips,data/l2arctic/YDCK/wav/arctic_b0103.wav,YDCK,Korean,F,he livted his eyes and a strange cry burst from his lips
shooting pains passed like flashes of electricity through his body,data/l2arctic/YDCK/wav/arctic_b0104.wav,YDCK,Korean,F,suiting pains past like flashes of elactresity through his body
for a full minute the two men stared into each others face,data/l2arctic/YDCK/wav/arctic_b0106.wav,YDCK,Korean,F,for a full minute de two man steired into each other's face
he was sure now of but few things,data/l2arctic/YDCK/wav/arctic_b0107.wav,YDCK,Korean,F,he was yure now o but few things
it was a miracle and i owe you my life,data/l2arctic/YDCK/wav/arctic_b0108.wav,YDCK,Korean,F,it was amiracle and i ow you my life
philip ate lightly of the food which pierre had ready for him,data/l2arctic/YDCK/wav/arctic_b0109.wav,YDCK,Korean,F,philip ate lightly up the foot which piery had ready for him
such men believe when they come together,data/l2arctic/YDCK/wav/arctic_b0110.wav,YDCK,Korean,F,such a men believe when dey come together
the journey was continued at dawn,data/l2arctic/YDCK/wav/arctic_b0111.wav,YDCK,Korean,F,the journey was continued at dawn
jeanne and pierre both gazed toward the great rock,data/l2arctic/YDCK/wav/arctic_b0112.wav,YDCK,Korean,F,junine amdpere bus gazed toward the great rock
there was something pathetic in the girls attitude now,data/l2arctic/YDCK/wav/arctic_b0113.wav,YDCK,Korean,F,there is something paphatic in the girl's additude now
he moved his position and the illusion was gone,data/l2arctic/YDCK/wav/arctic_b0114.wav,YDCK,Korean,F,he moved his pegician and illusion was gone
for two hours not a word passed between them,data/l2arctic/YDCK/wav/arctic_b0115.wav,YDCK,Korean,F,for two hours not a word passed between them
