transcription,path_to_audio,speaker_id,native_language,gender,sew_large_transcriptions
and when you come back in a few days bring eileen,data/l2arctic/HKK/wav/arctic_a0171.wav,HKK,Korean,M,and when you come back in a few days ring i lean
gregson had left the outer door slightly ajar,data/l2arctic/HKK/wav/arctic_a0172.wav,HKK,Korean,M,grexon had left the altar door slightly ajar
the date was nearly eighteen years old,data/l2arctic/HKK/wav/arctic_a0173.wav,HKK,Korean,M,date was nearly eighteen years old
they were the presage of storm,data/l2arctic/HKK/wav/arctic_a0174.wav,HKK,Korean,M,he heard the prestige of storm
down there the earth was already swelling with life,data/l2arctic/HKK/wav/arctic_a0175.wav,HKK,Korean,M,down there the earth was already swelling with life
for the first time in his life he was yearning for a scrap,data/l2arctic/HKK/wav/arctic_a0176.wav,HKK,Korean,M,for the first time in his life he was yearning for a scrap
she had been thoroughly and efficiently mauled,data/l2arctic/HKK/wav/arctic_a0177.wav,HKK,Korean,M,she had been thoroughly and efficiently moored
every bone in her aged body seemed broken or dislocated,data/l2arctic/HKK/wav/arctic_a0178.wav,HKK,Korean,M,every bone in her aged body seemed broken or dislocated
tomorrow im going after that bear he said,data/l2arctic/HKK/wav/arctic_a0179.wav,HKK,Korean,M,motto i'm going after that bear he said
if not lets say our prayers and go to bed,data/l2arctic/HKK/wav/arctic_a0180.wav,HKK,Korean,M,if not they say our prayers and go to bed
so cheer up and give us your paw,data/l2arctic/HKK/wav/arctic_a0181.wav,HKK,Korean,M,so cheer up and give us your pole
this time he did not yap for mercy,data/l2arctic/HKK/wav/arctic_a0182.wav,HKK,Korean,M,this time he did not yet for mercy
and the air was growing chilly,data/l2arctic/HKK/wav/arctic_a0183.wav,HKK,Korean,M,and the air was growing chilly
dont you see im chewing this thing in two,data/l2arctic/HKK/wav/arctic_a0184.wav,HKK,Korean,M,don't you see i'm choosing these things in two
the questions may have come vaguely in his mind,data/l2arctic/HKK/wav/arctic_a0185.wav,HKK,Korean,M,questions may have come vaguely in his mind
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/HKK/wav/arctic_a0186.wav,HKK,Korean,M,like a flash he launched himself into the feathered mass of the hour
two gigantic owls were tearing at the carcass,data/l2arctic/HKK/wav/arctic_a0188.wav,HKK,Korean,M,to gigantic hours were tearing at the chaos
the big eyed clucking moose birds were most annoying,data/l2arctic/HKK/wav/arctic_a0189.wav,HKK,Korean,M,the big eyed clucking moose birds were most annoying
next to them the canada jays were most persistent,data/l2arctic/HKK/wav/arctic_a0190.wav,HKK,Korean,M,next to them the kinraids were most persistent
for a time the exciting thrill of his adventure was gone,data/l2arctic/HKK/wav/arctic_a0191.wav,HKK,Korean,M,for a moment the exciting thrill of his adventure was gone
he did not rush in,data/l2arctic/HKK/wav/arctic_a0192.wav,HKK,Korean,M,he did not rush in
it was edged with ice,data/l2arctic/HKK/wav/arctic_a0193.wav,HKK,Korean,M,it was hatchet with eyes
he drank of the water cautiously,data/l2arctic/HKK/wav/arctic_a0194.wav,HKK,Korean,M,he drank of the water cautiously
but a strange thing happened,data/l2arctic/HKK/wav/arctic_a0195.wav,HKK,Korean,M,but a strange thing happened
he began to follow the footprints of the dog,data/l2arctic/HKK/wav/arctic_a0196.wav,HKK,Korean,M,it began to follow the footprints of the dog
such a dog the wise driver kills or turns loose,data/l2arctic/HKK/wav/arctic_a0197.wav,HKK,Korean,M,such a dog the wise driver kills or taunts ruse
sometimes her dreams were filled with visions,data/l2arctic/HKK/wav/arctic_a0198.wav,HKK,Korean,M,sometimes her dreams were filled with visions
thus had the raw wilderness prepared him for this day,data/l2arctic/HKK/wav/arctic_a0199.wav,HKK,Korean,M,thus as the royal wilderness prepared him for this day
he leapt again and the club caught him once more,data/l2arctic/HKK/wav/arctic_a0200.wav,HKK,Korean,M,he lived again and the club caught him once more
he cried and swung the club wildly,data/l2arctic/HKK/wav/arctic_a0201.wav,HKK,Korean,M,he cried and swung the club wildly
she turned fearing that jacques might see what was in her face,data/l2arctic/HKK/wav/arctic_a0202.wav,HKK,Korean,M,he turned fearing that jack smiled to see what was in her face
they were following the shore of a lake,data/l2arctic/HKK/wav/arctic_a0203.wav,HKK,Korean,M,he were following the shore of a lake
from now on were pals,data/l2arctic/HKK/wav/arctic_a0205.wav,HKK,Korean,M,from now on we are parts
he says he bought him of jacques le beau,data/l2arctic/HKK/wav/arctic_a0206.wav,HKK,Korean,M,is as he potted him against the boo
how much was it,data/l2arctic/HKK/wav/arctic_a0207.wav,HKK,Korean,M,how much was it
youth had come back to her freed from the yoke of oppression,data/l2arctic/HKK/wav/arctic_a0208.wav,HKK,Korean,M,youth had come back to her freed from the yoke of oppression
it was not a large lake and almost round,data/l2arctic/HKK/wav/arctic_a0209.wav,HKK,Korean,M,it was not a large lake in our most round
its diameter was not more than two hundred yards,data/l2arctic/HKK/wav/arctic_a0210.wav,HKK,Korean,M,its diameter was not more than two hundred yards
it drowned all sound that brute agony and death may have made,data/l2arctic/HKK/wav/arctic_a0211.wav,HKK,Korean,M,it round or sound that proved agony and thus may have made
fresh cases still able to walk they clustered about the spokesman,data/l2arctic/HKK/wav/arctic_a0212.wav,HKK,Korean,M,fresh cases still able to walk they clustered about the spokesman
between him and the beach was the cane grass fence of the compound,data/l2arctic/HKK/wav/arctic_a0213.wav,HKK,Korean,M,between him and the bitch was the cane grain fence of the compound
besides he was paid one case of tobacco per head,data/l2arctic/HKK/wav/arctic_a0214.wav,HKK,Korean,M,besides he was the paid one case of tobacco perhaps
they die out of spite,data/l2arctic/HKK/wav/arctic_a0215.wav,HKK,Korean,M,day they die out of spuss
the other felt a sudden wave of irritation rush through him,data/l2arctic/HKK/wav/arctic_a0216.wav,HKK,Korean,M,the other felt a sudden wave of irritation rush through him
oppressive as the heat had been it was now even more oppressive,data/l2arctic/HKK/wav/arctic_a0217.wav,HKK,Korean,M,oppressive as to it had been it was now even more oppressive
the ringing of the big bell aroused him,data/l2arctic/HKK/wav/arctic_a0218.wav,HKK,Korean,M,the ringing of the big bell aroused him
at first he puzzled over something untoward he was sure had happened,data/l2arctic/HKK/wav/arctic_a0219.wav,HKK,Korean,M,at first he puzzled over something on towards what he was sure had happened
a dead man is of no use on a plantation,data/l2arctic/HKK/wav/arctic_a0220.wav,HKK,Korean,M,a dead man is of no use on a plantation
what part of the united states is your home,data/l2arctic/HKK/wav/arctic_a0222.wav,HKK,Korean,M,what part of the united states is your home
my im almost homesick for it already,data/l2arctic/HKK/wav/arctic_a0223.wav,HKK,Korean,M,my i am or most homesick for it already
she nodded and her eyes grew soft and moist,data/l2arctic/HKK/wav/arctic_a0224.wav,HKK,Korean,M,she nodded and her eyes grew soft and moist
i was brought up the way most girls in hawaii are brought up,data/l2arctic/HKK/wav/arctic_a0225.wav,HKK,Korean,M,i was brought up the way most girls in hallway are portal
that came before my a b cs,data/l2arctic/HKK/wav/arctic_a0226.wav,HKK,Korean,M,that came before my a b c
it was the same way with our revolvers and rifles,data/l2arctic/HKK/wav/arctic_a0227.wav,HKK,Korean,M,it was the same way with our revolvers and rifles
but it contributed to the smash,data/l2arctic/HKK/wav/arctic_a0228.wav,HKK,Korean,M,but he contributed to the smash
the last one i knew was an overseer,data/l2arctic/HKK/wav/arctic_a0229.wav,HKK,Korean,M,the last one i knew was an overseer
do you know any good land around here,data/l2arctic/HKK/wav/arctic_a0230.wav,HKK,Korean,M,you know any good land around here
the resident commissioner is away in australia,data/l2arctic/HKK/wav/arctic_a0231.wav,HKK,Korean,M,the resident commissioner is away in australia
i cannot follow you she said,data/l2arctic/HKK/wav/arctic_a0232.wav,HKK,Korean,M,i cannot follow you she said
i never allow what cant be changed to annoy me,data/l2arctic/HKK/wav/arctic_a0233.wav,HKK,Korean,M,i never allow what can be changed to annoy me
why the average review is more nauseating than cod liver oil,data/l2arctic/HKK/wav/arctic_a0234.wav,HKK,Korean,M,why do ever to reverse more nauseating than caught leverett oil
his voice was passionately rebellious,data/l2arctic/HKK/wav/arctic_a0235.wav,HKK,Korean,M,his voice was passionately rebellious
dont you see i hate you,data/l2arctic/HKK/wav/arctic_a0236.wav,HKK,Korean,M,don't you see i hate you
so hughie and i did the managing ourselves,data/l2arctic/HKK/wav/arctic_a0237.wav,HKK,Korean,M,so surely and i did the managing ourselves
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/HKK/wav/arctic_a0239.wav,HKK,Korean,M,he cried in such genuine dismay that she broke into hearty laughter
wash your hands of me,data/l2arctic/HKK/wav/arctic_a0240.wav,HKK,Korean,M,wash your hands on me
i think its much nicer to quarrel,data/l2arctic/HKK/wav/arctic_a0241.wav,HKK,Korean,M,i think as much nicer to color
i saw it when she rolled,data/l2arctic/HKK/wav/arctic_a0242.wav,HKK,Korean,M,i saw it when she roared
i only read the quotations,data/l2arctic/HKK/wav/arctic_a0243.wav,HKK,Korean,M,i only read the quotations
he was the soul of devotion to his employers,data/l2arctic/HKK/wav/arctic_a0244.wav,HKK,Korean,M,was to soar off devotion to his employers
out of his eighteen hundred he laid aside sixteen hundred each year,data/l2arctic/HKK/wav/arctic_a0245.wav,HKK,Korean,M,out of his eighteen hundred he laid aside sixteen hundred a cheer
you have heard always how he was the lover of the princess naomi,data/l2arctic/HKK/wav/arctic_a0246.wav,HKK,Korean,M,you have heard or always now he was the lover of the princess naomi
they ought to pass here some time today,data/l2arctic/HKK/wav/arctic_a0247.wav,HKK,Korean,M,the ought to pass a year or some time to day
i had been sad too long already,data/l2arctic/HKK/wav/arctic_a0248.wav,HKK,Korean,M,i had been set to long already
all eyes however were staring at him in certitude of expectancy,data/l2arctic/HKK/wav/arctic_a0249.wav,HKK,Korean,M,or eyes however were stirring at him in certitude of expectancy
he had observed the business life of hawaii and developed a vaulting ambition,data/l2arctic/HKK/wav/arctic_a0250.wav,HKK,Korean,M,he had abjured the biggest life of our wide and developed the fourteen ambitions
i may manage to freight a cargo back as well,data/l2arctic/HKK/wav/arctic_a0251.wav,HKK,Korean,M,i may manage to fright a cargo back as well
obrien had been a clean living young man with ideals,data/l2arctic/HKK/wav/arctic_a0252.wav,HKK,Korean,M,o'brien has been a clean living young man with ideas
he it was that lived to found the family of the patino,data/l2arctic/HKK/wav/arctic_a0253.wav,HKK,Korean,M,he it was that leave to found the family of the peppino
straight out they swam their heads growing smaller and smaller,data/l2arctic/HKK/wav/arctic_a0254.wav,HKK,Korean,M,straight out they swim there has growing smaller and smaller
see the length of the body and that elongated neck,data/l2arctic/HKK/wav/arctic_a0256.wav,HKK,Korean,M,see the lans of the body and that elongated neck
they are coming ashore whoever they are,data/l2arctic/HKK/wav/arctic_a0257.wav,HKK,Korean,M,are coming on shore weather they are
soaked in seawater they offset the heat rays,data/l2arctic/HKK/wav/arctic_a0258.wav,HKK,Korean,M,soaked in sea water they'll set a hit race
think of investing in such an adventure,data/l2arctic/HKK/wav/arctic_a0259.wav,HKK,Korean,M,think of investing in such an adventure
nobody knew his history they of the junta least of all,data/l2arctic/HKK/wav/arctic_a0260.wav,HKK,Korean,M,nobody knew his story they of the genta least of her
i have been doubly baptized,data/l2arctic/HKK/wav/arctic_a0261.wav,HKK,Korean,M,i have been doubly baptized
they wouldnt be sweeping a big vessel like the martha,data/l2arctic/HKK/wav/arctic_a0262.wav,HKK,Korean,M,they wouldn't be sweeping a big vessel like the martha
joan looked triumphantly at sheldon who bowed,data/l2arctic/HKK/wav/arctic_a0263.wav,HKK,Korean,M,john looked triumphantly at children who bowed
and i hope youve got plenty of chain out captain young,data/l2arctic/HKK/wav/arctic_a0264.wav,HKK,Korean,M,and i hope you've got plenty of chain out captain young
the discovery seemed to have been made on the spur of the moment,data/l2arctic/HKK/wav/arctic_a0265.wav,HKK,Korean,M,discoveries seemed to have been made on the spur of the moments
they handled two men already both grub thieves,data/l2arctic/HKK/wav/arctic_a0266.wav,HKK,Korean,M,a hinderer to mend a ready postscript thief
eli harding asked as shunk started to follow,data/l2arctic/HKK/wav/arctic_a0267.wav,HKK,Korean,M,illy hardingesque as the skunk started to follow
now go ahead and tell me in a straightforward way what has happened,data/l2arctic/HKK/wav/arctic_a0268.wav,HKK,Korean,M,now go ahead and tell me in a straightforward way what has happened
thats where they cut off the scottish chiefs and killed all hands,data/l2arctic/HKK/wav/arctic_a0269.wav,HKK,Korean,M,best wear they cut off the scottish chips and killed our hands
and after the bath a shave would not be bad,data/l2arctic/HKK/wav/arctic_a0270.wav,HKK,Korean,M,and after the bath a shave would not be badt
now please give a plain statement of what occurred,data/l2arctic/HKK/wav/arctic_a0271.wav,HKK,Korean,M,now please give me a plain statement of what occurred
they are big trees and require plenty of room,data/l2arctic/HKK/wav/arctic_a0273.wav,HKK,Korean,M,their big trees and require a plenty of room
and raoul listened again to the tale of the house,data/l2arctic/HKK/wav/arctic_a0274.wav,HKK,Korean,M,and lower listened again to the tale of the house
there are no kiddies and half grown youths among them,data/l2arctic/HKK/wav/arctic_a0275.wav,HKK,Korean,M,you are no kiddies and have grown youth among them
oolong atoll was one hundred and forty miles in circumference,data/l2arctic/HKK/wav/arctic_a0276.wav,HKK,Korean,M,long at all was one hundred and forty miles in circumference
mcoy found a stifling poisonous atmosphere in the pent cabin,data/l2arctic/HKK/wav/arctic_a0277.wav,HKK,Korean,M,decoy found a stifling poisonous animal spear in the pent caving
it would give me nervous prostration,data/l2arctic/HKK/wav/arctic_a0278.wav,HKK,Korean,M,it would give me a nervous prostration
she said with chattering teeth,data/l2arctic/HKK/wav/arctic_a0279.wav,HKK,Korean,M,she said with a chattering kiss
ill be out of my head in fifteen minutes,data/l2arctic/HKK/wav/arctic_a0280.wav,HKK,Korean,M,all be out of my head in five minutes
i do not blame you for anything remember that,data/l2arctic/HKK/wav/arctic_a0281.wav,HKK,Korean,M,i do not blame you for anything remember that
if you mean to insinuate brentwood began hotly,data/l2arctic/HKK/wav/arctic_a0282.wav,HKK,Korean,M,if you mean to insinuate brentwood began totley
the woman in you is only incidental accidental and irrelevant,data/l2arctic/HKK/wav/arctic_a0283.wav,HKK,Korean,M,the woman in you is only incidental extenter and irrelevant
there was no forecasting this strange girls processes,data/l2arctic/HKK/wav/arctic_a0284.wav,HKK,Korean,M,there was no forecasting these strange girls processes
but what they want with your toothbrush is more than i can imagine,data/l2arctic/HKK/wav/arctic_a0285.wav,HKK,Korean,M,but what they want with your twist first is more than i can imagine
give them their choice between a fine or an official whipping,data/l2arctic/HKK/wav/arctic_a0286.wav,HKK,Korean,M,keep them there choice between a fine or an official whipping
keep an eye on him,data/l2arctic/HKK/wav/arctic_a0287.wav,HKK,Korean,M,keeping the eye on him
they are my oysters he said at last,data/l2arctic/HKK/wav/arctic_a0288.wav,HKK,Korean,M,here my oysters he said at last
one by one the boys were captured,data/l2arctic/HKK/wav/arctic_a0290.wav,HKK,Korean,M,one by one the boys were captured
the weeks had gone by and no overt acts had been attempted,data/l2arctic/HKK/wav/arctic_a0291.wav,HKK,Korean,M,the whigs had gone by and no third acts had been attempted
here in the midmorning the first casualty occurred,data/l2arctic/HKK/wav/arctic_a0292.wav,HKK,Korean,M,here in the mid morning the first casualty occurred
they were deep in the primeval forest,data/l2arctic/HKK/wav/arctic_a0293.wav,HKK,Korean,M,they were deep in the primeval forest
he had been foiled in his attempt to escape,data/l2arctic/HKK/wav/arctic_a0294.wav,HKK,Korean,M,he had been foiled in his attempt at escape
and twenty men could hold it with spears and arrows,data/l2arctic/HKK/wav/arctic_a0295.wav,HKK,Korean,M,and twenty men could hold it with spears and arrows
bassett was a fastidious man,data/l2arctic/HKK/wav/arctic_a0296.wav,HKK,Korean,M,bassett was a fastidious man
theres a big english general right now whose name is roberts,data/l2arctic/HKK/wav/arctic_a0297.wav,HKK,Korean,M,there is a big english general right now whose name is roberts
this tacit promise of continued acquaintance gave saxon a little joy thrill,data/l2arctic/HKK/wav/arctic_a0298.wav,HKK,Korean,M,this tacit promise of continued acquaintance gave a saxon a little joy thrill
i tell you i am disgusted with this adventure tomfoolery and rot,data/l2arctic/HKK/wav/arctic_a0299.wav,HKK,Korean,M,i tell you i'm disgusted with this adventure tomfoolery and rot
from my earliest recollection my sleep was a period of terror,data/l2arctic/HKK/wav/arctic_a0300.wav,HKK,Korean,M,from my oldest recollection my sleeve was the period of a tatter
but all my dreams violated this law,data/l2arctic/HKK/wav/arctic_a0301.wav,HKK,Korean,M,but o my dreams if i only did this low
it is very plausible to such people a most convincing hypothesis,data/l2arctic/HKK/wav/arctic_a0302.wav,HKK,Korean,M,it is very pledge of her to such people a most convincing hypothesis
but they make the mistake of ignoring their own duality,data/l2arctic/HKK/wav/arctic_a0303.wav,HKK,Korean,M,but they make the mistake of ignoring their own duality
i graduated last of my class,data/l2arctic/HKK/wav/arctic_a0304.wav,HKK,Korean,M,i graduated last a mite class
they had no fixed values to be altered by adjectives and adverbs,data/l2arctic/HKK/wav/arctic_a0305.wav,HKK,Korean,M,they had no fixed values to be altered by adjectives and adverse
very early in my life i separated from my mother,data/l2arctic/HKK/wav/arctic_a0307.wav,HKK,Korean,M,very only in my life i separated from my mother
his infernal chattering worries me even now as i think of it,data/l2arctic/HKK/wav/arctic_a0308.wav,HKK,Korean,M,is in funnier chattering worries me even now if i think of it
white leghorns said missus mortimer,data/l2arctic/HKK/wav/arctic_a0309.wav,HKK,Korean,M,white lacons said missus mortimer
massage under tension was the cryptic reply,data/l2arctic/HKK/wav/arctic_a0310.wav,HKK,Korean,M,message under tension was the cryptic reply
therefore hurrah for the game,data/l2arctic/HKK/wav/arctic_a0311.wav,HKK,Korean,M,therefore hooray for the game
it lived in perpetual apprehension of that quarter of the compass,data/l2arctic/HKK/wav/arctic_a0312.wav,HKK,Korean,M,it leaved in perpetual apprehension of that quarter of the compass
broken tooth yelled with fright and pain,data/l2arctic/HKK/wav/arctic_a0313.wav,HKK,Korean,M,broken to his yield with the fright and pain
thus was momentum gained in the younger world,data/l2arctic/HKK/wav/arctic_a0314.wav,HKK,Korean,M,dust was momentum gained in the younger world
saxon waited for she knew a fresh idea had struck billy,data/l2arctic/HKK/wav/arctic_a0315.wav,HKK,Korean,M,saxon waited for she knew a fresh idea had struck billy
we had been chased by them ourselves more than once,data/l2arctic/HKK/wav/arctic_a0316.wav,HKK,Korean,M,we had been chased by them ourselves more than once
he was a wise hyena,data/l2arctic/HKK/wav/arctic_a0317.wav,HKK,Korean,M,he was the wise diana
production is doubling and quadrupling upon itself,data/l2arctic/HKK/wav/arctic_a0318.wav,HKK,Korean,M,production is doubling and quadrupling upon itself
and the edinburgh evening news says with editorial gloom,data/l2arctic/HKK/wav/arctic_a0319.wav,HKK,Korean,M,and at imbibed evening recess with editorial gloom
with my strength i slammed it full into red eyes face,data/l2arctic/HKK/wav/arctic_a0320.wav,HKK,Korean,M,with my strength i slammed it for into red eyes's face
the log on which lop ear was lying got adrift,data/l2arctic/HKK/wav/arctic_a0321.wav,HKK,Korean,M,the log on which looked beer was lying got adrift
this is a common experience with all of us,data/l2arctic/HKK/wav/arctic_a0322.wav,HKK,Korean,M,theseusa common experience read all of us
it was not red eyes way to forego revenge so easily,data/l2arctic/HKK/wav/arctic_a0324.wav,HKK,Korean,M,it was not reddish way to forego revenge so easily
whiz zip bang lop ear screamed with sudden anguish,data/l2arctic/HKK/wav/arctic_a0325.wav,HKK,Korean,M,whip zip bang loftier screamed with a sudden anguish
cherokee identified himself with his instinct,data/l2arctic/HKK/wav/arctic_a0326.wav,HKK,Korean,M,chokichi identified himself with his instinct
they were less stooped than we less springy in their movements,data/l2arctic/HKK/wav/arctic_a0327.wav,HKK,Korean,M,they were less took than we last springing in their movements
the fire people like ourselves lived in caves,data/l2arctic/HKK/wav/arctic_a0328.wav,HKK,Korean,M,the fire people like ourselves lived in caves
ah indeed,data/l2arctic/HKK/wav/arctic_a0329.wav,HKK,Korean,M,ah indeed
red eye never committed a more outrageous deed,data/l2arctic/HKK/wav/arctic_a0330.wav,HKK,Korean,M,red eyed never committed the more outrageous deed
poor little crooked leg was terribly scared,data/l2arctic/HKK/wav/arctic_a0331.wav,HKK,Korean,M,for leader croquet black was terribly scared
unconsciously our yells and exclamations yielded to this rhythm,data/l2arctic/HKK/wav/arctic_a0332.wav,HKK,Korean,M,unconsciously our youths and exclamations yielded to this rhythm
this is no place for you,data/l2arctic/HKK/wav/arctic_a0333.wav,HKK,Korean,M,this is no place for you
hell knock you off a few sticks in no time,data/l2arctic/HKK/wav/arctic_a0334.wav,HKK,Korean,M,you will knock you off a few sticks in no time
red eye swung back and forth on the branch farther down,data/l2arctic/HKK/wav/arctic_a0335.wav,HKK,Korean,M,red eye swung back and first on the branch of further down
so unexpected was my charge that i knocked him off his feet,data/l2arctic/HKK/wav/arctic_a0336.wav,HKK,Korean,M,so unexpected was my charge that i knocked him off his feet
encouraged by my conduct big face became a sudden ally,data/l2arctic/HKK/wav/arctic_a0337.wav,HKK,Korean,M,encouraged by my conduct big face became a sudden ally
the fighting had now become intermittent,data/l2arctic/HKK/wav/arctic_a0338.wav,HKK,Korean,M,the fighting had now become intermittent
they obeyed him and went here and there at his commands,data/l2arctic/HKK/wav/arctic_a0339.wav,HKK,Korean,M,they obeyed him and went here there at his commands
why doggone you all shake again,data/l2arctic/HKK/wav/arctic_a0341.wav,HKK,Korean,M,why dog gone you will strike again
seventeen no eighteen days ago,data/l2arctic/HKK/wav/arctic_a0342.wav,HKK,Korean,M,seventeen no eighteen days ago
you mean for this state general alberta,data/l2arctic/HKK/wav/arctic_a0343.wav,HKK,Korean,M,you mean for this that general alberta
he seemed to fill it with his tremendous vitality,data/l2arctic/HKK/wav/arctic_a0344.wav,HKK,Korean,M,he seemed to fill it with his tremendous vitality
she was trying to pass the apron string around him,data/l2arctic/HKK/wav/arctic_a0345.wav,HKK,Korean,M,she was trying to pass the april and string of round team
get down and dig in,data/l2arctic/HKK/wav/arctic_a0346.wav,HKK,Korean,M,get down and begin
they are greatly delighted with anything that is bright or giveth a sound,data/l2arctic/HKK/wav/arctic_a0347.wav,HKK,Korean,M,they are greatly delighted with anything that is bright or gives a sound
they only lifted seven hundred and fifty,data/l2arctic/HKK/wav/arctic_a0348.wav,HKK,Korean,M,the only lift is seven hundred and fifty
it was simple in its way and no virtue of his,data/l2arctic/HKK/wav/arctic_a0349.wav,HKK,Korean,M,it was a simple in its way and no virtue of is
is that pat hanrahans mug looking hungry and willing,data/l2arctic/HKK/wav/arctic_a0350.wav,HKK,Korean,M,is the path hundreds mark looking hungry and willing
it was more like sugar,data/l2arctic/HKK/wav/arctic_a0351.wav,HKK,Korean,M,it was more like sugar
im sure going along with you all elijah,data/l2arctic/HKK/wav/arctic_a0352.wav,HKK,Korean,M,i'm sure going along with you or elisha
here the explosion of mirth drowned him out,data/l2arctic/HKK/wav/arctic_a0353.wav,HKK,Korean,M,here the explosion of a mirth drowned him out
fresh meat they failed to obtain,data/l2arctic/HKK/wav/arctic_a0354.wav,HKK,Korean,M,freshmen the fear to obtain
a burst of laughter was his reward,data/l2arctic/HKK/wav/arctic_a0355.wav,HKK,Korean,M,a burst of laughter was his reward
you dont catch me at any such foolishness,data/l2arctic/HKK/wav/arctic_a0356.wav,HKK,Korean,M,you don't catch me at any such foolishness
they continued valiantly to lie but the truth continued to outrun them,data/l2arctic/HKK/wav/arctic_a0358.wav,HKK,Korean,M,they continued valiantly to lie but the truce continued to outland them
earth and gravel seemed to fill the pan,data/l2arctic/HKK/wav/arctic_a0359.wav,HKK,Korean,M,earth and gravel seemed to fill the pan
but he no longer cared quite so much for that form of diversion,data/l2arctic/HKK/wav/arctic_a0360.wav,HKK,Korean,M,but he no longer cared quite so much for that form of divergen
but he did not broach it preferring to mature it carefully,data/l2arctic/HKK/wav/arctic_a0361.wav,HKK,Korean,M,but he'd not broach it preferring to mature it carefully
nope not the slightest idea,data/l2arctic/HKK/wav/arctic_a0362.wav,HKK,Korean,M,nuff not the slightest idea
it is not an attempt to smash the market,data/l2arctic/HKK/wav/arctic_a0363.wav,HKK,Korean,M,it was not an attempt to smash the market
we have plenty of capital ourselves and yet we want more,data/l2arctic/HKK/wav/arctic_a0364.wav,HKK,Korean,M,we have a plenty of captor ourselves and yet you want more
these rumors may even originate with us,data/l2arctic/HKK/wav/arctic_a0365.wav,HKK,Korean,M,these rumours may even originate with us
a wildly exciting time was his during the week preceding thursday the eighteenth,data/l2arctic/HKK/wav/arctic_a0366.wav,HKK,Korean,M,a widely exciting time was his during the week preceding thursday the eighteenth
there is not an iota of truth in it certainly not,data/l2arctic/HKK/wav/arctic_a0367.wav,HKK,Korean,M,there is not an iowa of atrocitate certainly not
i just do appreciate it without being able to express my feelings,data/l2arctic/HKK/wav/arctic_a0368.wav,HKK,Korean,M,i just to appreciate it without being able to express my feelings
in partnership with daylight the pair raided the san jose interurban,data/l2arctic/HKK/wav/arctic_a0369.wav,HKK,Korean,M,in partnership with the day rite the peer raided the san jose into urban
he saw all men in the business game doing this,data/l2arctic/HKK/wav/arctic_a0370.wav,HKK,Korean,M,his soul or man in the bidding his game doing this
it issued a rate of forty two dollars a car on charcoal,data/l2arctic/HKK/wav/arctic_a0371.wav,HKK,Korean,M,it issued a raid of forty two dollars a car on charcoal
he saw only the effect in a general sketchy way,data/l2arctic/HKK/wav/arctic_a0372.wav,HKK,Korean,M,is so only the effect in general sketch way
points of view new ideas life,data/l2arctic/HKK/wav/arctic_a0373.wav,HKK,Korean,M,points of view new ideas life
the butchers and meat cutters refused to handle meat destined for unfair restaurants,data/l2arctic/HKK/wav/arctic_a0375.wav,HKK,Korean,M,the butchers and meat cutters refused to hand their meat destined for unfair restaurants
your price my son is just about thirty per week,data/l2arctic/HKK/wav/arctic_a0376.wav,HKK,Korean,M,your prize to my son is just about thirty par week
this sound did not disturb the hush and awe of the place,data/l2arctic/HKK/wav/arctic_a0377.wav,HKK,Korean,M,this sound did not disturb the hush and awe of the place
thats why its boundaries are all gouged and jagged,data/l2arctic/HKK/wav/arctic_a0378.wav,HKK,Korean,M,does why its boundaries are all gouged and jagged
how old are you daddy,data/l2arctic/HKK/wav/arctic_a0379.wav,HKK,Korean,M,how old are you davy
but in the canyons water was plentiful and also a luxuriant forest growth,data/l2arctic/HKK/wav/arctic_a0380.wav,HKK,Korean,M,but in the canyon's water was plenty fur and also luxuriant forest growths
my names ferguson,data/l2arctic/HKK/wav/arctic_a0381.wav,HKK,Korean,M,my name's ferguson
daylight found himself charmed and made curious by the little man,data/l2arctic/HKK/wav/arctic_a0382.wav,HKK,Korean,M,he right found himself charmed and made curious by the little man
to his surprise her answer was flat and uncompromising,data/l2arctic/HKK/wav/arctic_a0383.wav,HKK,Korean,M,to his surprise his answer was flat and uncompromising
the farmer works the soil and produces grain,data/l2arctic/HKK/wav/arctic_a0384.wav,HKK,Korean,M,the farmer works the soil and produces grain
thats what carnegie did,data/l2arctic/HKK/wav/arctic_a0385.wav,HKK,Korean,M,that's where carnegie beat
i cant argue with you and you know that,data/l2arctic/HKK/wav/arctic_a0386.wav,HKK,Korean,M,i can't argue with you and you know that
bob growing disgusted turned back suddenly and attempted to pass mab,data/l2arctic/HKK/wav/arctic_a0387.wav,HKK,Korean,M,bob growing disgusted turned back suddenly and attempted to pass map
it was my idea to a tee,data/l2arctic/HKK/wav/arctic_a0388.wav,HKK,Korean,M,it was my idea to a t
mab she said,data/l2arctic/HKK/wav/arctic_a0389.wav,HKK,Korean,M,map she said
i will go over tomorrow afternoon,data/l2arctic/HKK/wav/arctic_a0390.wav,HKK,Korean,M,i will go over to morrow afternoon
there is that magnificent bob eating his head off in the stable,data/l2arctic/HKK/wav/arctic_a0392.wav,HKK,Korean,M,that is the magnificent barb eating his head off in his stable
already he had begun borrowing from the banks,data/l2arctic/HKK/wav/arctic_a0393.wav,HKK,Korean,M,ready he began burrowing from the banks
