transcription,path_to_audio,speaker_id,native_language,gender,whisper_medium_transcriptions
it was a miracle and i owe you my life,data/l2arctic/YDCK/wav/arctic_b0108.wav,YDCK,Korean,F,it was a miracle and i owe you my life.!!
philip ate lightly of the food which pierre had ready for him,data/l2arctic/YDCK/wav/arctic_b0109.wav,YDCK,Korean,F,philip ate lightly of the food which peary had ready for him.!!
such men believe when they come together,data/l2arctic/YDCK/wav/arctic_b0110.wav,YDCK,Korean,F,such men believe when they come together.!!
the journey was continued at dawn,data/l2arctic/YDCK/wav/arctic_b0111.wav,YDCK,Korean,F,the journey was continued at dawn.!!
jeanne and pierre both gazed toward the great rock,data/l2arctic/YDCK/wav/arctic_b0112.wav,YDCK,Korean,F,janine and pierre both gazed toward the great rock.!!
there was something pathetic in the girls attitude now,data/l2arctic/YDCK/wav/arctic_b0113.wav,YDCK,Korean,F,there is something pathetic in the girls' editor now.
he moved his position and the illusion was gone,data/l2arctic/YDCK/wav/arctic_b0114.wav,YDCK,Korean,F,he moved his position and the illusion was gone.
for two hours not a word passed between them,data/l2arctic/YDCK/wav/arctic_b0115.wav,YDCK,Korean,F,for two hours not a word passed between them.
i have hunted along this ridge replied philip,data/l2arctic/YDCK/wav/arctic_b0116.wav,YDCK,Korean,F,"i have hunted along this ridge,"" replied philip."
thats thorpes said the young engineer,data/l2arctic/YDCK/wav/arctic_b0117.wav,YDCK,Korean,F,"that's thorpe, said the young engineer."
we saw your light and thought you wouldnt mind a call,data/l2arctic/YDCK/wav/arctic_b0118.wav,YDCK,Korean,F,we saw your light and thought you wouldn't mind a call.
billinger may arrive in time,data/l2arctic/YDCK/wav/arctic_b0119.wav,YDCK,Korean,F,the linger may arrive in time.
theres the hitch replied thorpe rolling a cigarette,data/l2arctic/YDCK/wav/arctic_b0120.wav,YDCK,Korean,F,"there's the hitch replied thorpe, rolling a cigarette."
i want my men to work by themselves,data/l2arctic/YDCK/wav/arctic_b0121.wav,YDCK,Korean,F,i want my men to work by themselves.
neither could they understand the growing disaffection among thorpes men,data/l2arctic/YDCK/wav/arctic_b0123.wav,YDCK,Korean,F,neither could they understand the growing disaffection among thorpe's men.
two weeks passed and in that time thorpe left camp three times,data/l2arctic/YDCK/wav/arctic_b0124.wav,YDCK,Korean,F,two weeks passed and in that time thorf left camp three times.
it was the third or fourth time that philip had heard macdougall swear,data/l2arctic/YDCK/wav/arctic_b0125.wav,YDCK,Korean,F,it was the third or fourth time that philip had heard macdougall swear.
blood was oozing slowly from the wounded mans right breast,data/l2arctic/YDCK/wav/arctic_b0126.wav,YDCK,Korean,F,blood was oozing slowly from the wounded man's right breast.
he destroyed everything that had belonged to the woman,data/l2arctic/YDCK/wav/arctic_b0127.wav,YDCK,Korean,F,he destroyed everything that had belonged to the woman.
philip bent low over pierre,data/l2arctic/YDCK/wav/arctic_b0128.wav,YDCK,Korean,F,philippe bent low over pierre.
did thorpe go to see any one in churchill,data/l2arctic/YDCK/wav/arctic_b0129.wav,YDCK,Korean,F,did thorpe go to see anyone in church hill?
she saw the answer in his face,data/l2arctic/YDCK/wav/arctic_b0130.wav,YDCK,Korean,F,she saw the answer in his face.!!
thorpe and his men were to destroy this camp and kill you,data/l2arctic/YDCK/wav/arctic_b0131.wav,YDCK,Korean,F,thorf and his men were to destroy this camp and kill you.!!
there is no need of further detail now for you can understand,data/l2arctic/YDCK/wav/arctic_b0132.wav,YDCK,Korean,F,"there's no need of further detail now, for you can understand.!!"
there followed a roar that shook the earth,data/l2arctic/YDCK/wav/arctic_b0133.wav,YDCK,Korean,F,there followed a roar that shook the earth.!!
blind with rage he darted in,data/l2arctic/YDCK/wav/arctic_b0134.wav,YDCK,Korean,F,"blind with rage, he darted in.!!"
in it was the joy of life,data/l2arctic/YDCK/wav/arctic_b0135.wav,YDCK,Korean,F,in it was the joy of life.!!
swiftly his eyes measured the situation,data/l2arctic/YDCK/wav/arctic_b0136.wav,YDCK,Korean,F,swiftly his eyes measured the situation.!!
but this little defect did not worry him,data/l2arctic/YDCK/wav/arctic_b0137.wav,YDCK,Korean,F,but this little defect did not worry him.!!
and then steadily he began to chew,data/l2arctic/YDCK/wav/arctic_b0138.wav,YDCK,Korean,F,"and then, steadily, he began to chew.!!"
they edged nearer and stood shoulder to shoulder facing their world,data/l2arctic/YDCK/wav/arctic_b0140.wav,YDCK,Korean,F,they edged nearer and stood shoulder to shoulder facing their world.!!
it was beating and waiting in the ambush of those black pits,data/l2arctic/YDCK/wav/arctic_b0141.wav,YDCK,Korean,F,it was beating and waiting in the ambush of those black pits.!!
something vastly more thrilling had come into it now,data/l2arctic/YDCK/wav/arctic_b0142.wav,YDCK,Korean,F,something vastly more thrilling had come into it now.!!
it took him half an hour to reach the edge of it,data/l2arctic/YDCK/wav/arctic_b0143.wav,YDCK,Korean,F,it took him half an hour to reach the edge of it.!!
but there was no longer the mother yearning in his heart,data/l2arctic/YDCK/wav/arctic_b0144.wav,YDCK,Korean,F,but there was no longer the mother yearning in his heart.!!
besides had he not whipped the big owl in the forest,data/l2arctic/YDCK/wav/arctic_b0145.wav,YDCK,Korean,F,besides had he not whipped the big owl in the forest.!!
after all it was simply a mistake in judgment,data/l2arctic/YDCK/wav/arctic_b0146.wav,YDCK,Korean,F,"after all, it was simply a mistake in judgment.!!"
had it struck squarely it would have killed him,data/l2arctic/YDCK/wav/arctic_b0147.wav,YDCK,Korean,F,"had it stuck squarely, it'd have killed him."
the indian even poked his stick into the thick ground spruce,data/l2arctic/YDCK/wav/arctic_b0148.wav,YDCK,Korean,F,the indian even poked his stick into the thick ground spruce.
pebbles and dirt flew along with hair and fur,data/l2arctic/YDCK/wav/arctic_b0149.wav,YDCK,Korean,F,pebbles and dirt flew along with hair and fur.
and he was filled with a strange and foreboding fear,data/l2arctic/YDCK/wav/arctic_b0150.wav,YDCK,Korean,F,and he was filled with a strange and foreboding fear.
it was steel a fisher trap,data/l2arctic/YDCK/wav/arctic_b0151.wav,YDCK,Korean,F,it was still a fissured trap.
ow a wild dog he growled,data/l2arctic/YDCK/wav/arctic_b0152.wav,YDCK,Korean,F,"ow, a wild dog, he growled."
he was a pariah a wanderer without a friend or a home,data/l2arctic/YDCK/wav/arctic_b0153.wav,YDCK,Korean,F,"he was a pariah, a wanderer without a friend or a home."
that is the strange part of it,data/l2arctic/YDCK/wav/arctic_b0154.wav,YDCK,Korean,F,that is the strange part of it
his freshly caught furs he flung to the floor,data/l2arctic/YDCK/wav/arctic_b0155.wav,YDCK,Korean,F,his freshly cut verse he flung to the floor.
in the crib the baby sat up and began to prattle,data/l2arctic/YDCK/wav/arctic_b0157.wav,YDCK,Korean,F,"in the creep, the baby set up and began to prattle."
she obeyed shrinking back with the baby in her arms,data/l2arctic/YDCK/wav/arctic_b0158.wav,YDCK,Korean,F,"she obeyed, shrinking back with the baby in her arms."
his teeth shut with a last click,data/l2arctic/YDCK/wav/arctic_b0159.wav,YDCK,Korean,F,his teeth shot with a last click.
it was over when he made his way through the ring of spectators,data/l2arctic/YDCK/wav/arctic_b0160.wav,YDCK,Korean,F,it was over when he made his way through the ring of spectators.
in a flash he was on his feet facing him,data/l2arctic/YDCK/wav/arctic_b0161.wav,YDCK,Korean,F,"in a flash, he was on his feet, facing him."
he thought he saw a shudder pass through the factors shoulders,data/l2arctic/YDCK/wav/arctic_b0162.wav,YDCK,Korean,F,he thought he saw a shuttle pass through the vector's shoulders.
the moon had already begun its westward decline,data/l2arctic/YDCK/wav/arctic_b0163.wav,YDCK,Korean,F,the moon had already begun its westward decline.
they laughed like two happy children,data/l2arctic/YDCK/wav/arctic_b0164.wav,YDCK,Korean,F,they left like two happy children!!
he pulled and the log crashed down to break his back,data/l2arctic/YDCK/wav/arctic_b0165.wav,YDCK,Korean,F,he pulled and the lock crashed down to break his back.!!
fast but endure,data/l2arctic/YDCK/wav/arctic_b0166.wav,YDCK,Korean,F,fast but endure.!!
a little before dawn of the day following the fire relief came,data/l2arctic/YDCK/wav/arctic_b0167.wav,YDCK,Korean,F,"a little before dawn of the day following, the fire relief came.!!"
the indian felt the worship of her warm in his heart,data/l2arctic/YDCK/wav/arctic_b0168.wav,YDCK,Korean,F,the indian felt the worship of her warm in his heart.!!
he drew in a deep breath as he looked at them,data/l2arctic/YDCK/wav/arctic_b0169.wav,YDCK,Korean,F,he drew in a deep breath as he looked at them.!!
then he shouted shut up,data/l2arctic/YDCK/wav/arctic_b0170.wav,YDCK,Korean,F,"then he shouted, shut up!!!"
he changed his seat for a steamer reclining chair,data/l2arctic/YDCK/wav/arctic_b0171.wav,YDCK,Korean,F,he changed his seat for a steamer reclining chair.!!
on the far corner of the compound fence a hawk brooded,data/l2arctic/YDCK/wav/arctic_b0172.wav,YDCK,Korean,F,on the far corner of the compound fence or hawk brood.!!
hatred and murder and lust for revenge they possessed to overflowing,data/l2arctic/YDCK/wav/arctic_b0174.wav,YDCK,Korean,F,hatred and murder and loss for revenge they suggest to overflowing.!!
sheldon glanced at the thermometer,data/l2arctic/YDCK/wav/arctic_b0175.wav,YDCK,Korean,F,sheldon glanced at the thermometer.!!
ill see to poor hughie,data/l2arctic/YDCK/wav/arctic_b0176.wav,YDCK,Korean,F,i will see to poor huge.!!
her gray eyes were flashing and her lips were quivering,data/l2arctic/YDCK/wav/arctic_b0177.wav,YDCK,Korean,F,her gray eyes were flashing and her lips were quivering.!!
also i want information,data/l2arctic/YDCK/wav/arctic_b0178.wav,YDCK,Korean,F,"also, i want information.!!"
let them go out and eat with my boys,data/l2arctic/YDCK/wav/arctic_b0179.wav,YDCK,Korean,F,let them go out and eat with my boys.!!
i i beg pardon he drawled,data/l2arctic/YDCK/wav/arctic_b0180.wav,YDCK,Korean,F,i beg pardon. he drooled.!!
and you preferred a cannibal isle and a cartridge belt,data/l2arctic/YDCK/wav/arctic_b0181.wav,YDCK,Korean,F,and you preferred a cannibal aisle and a catered belt.
i was in new york when the crash came,data/l2arctic/YDCK/wav/arctic_b0182.wav,YDCK,Korean,F,i was in new york when the crash came.
no i did not fall among thieves,data/l2arctic/YDCK/wav/arctic_b0183.wav,YDCK,Korean,F,"no, i did not fall among thieves."
such things in her brain were like so many oaths on her lips,data/l2arctic/YDCK/wav/arctic_b0184.wav,YDCK,Korean,F,such things in her brain were like so many oaths on her lips.
your being wrecked here has been a godsend to me,data/l2arctic/YDCK/wav/arctic_b0185.wav,YDCK,Korean,F,your being wrecked here has been a god-sent to me.
i cant go elsewhere by your own account,data/l2arctic/YDCK/wav/arctic_b0186.wav,YDCK,Korean,F,i can't go elsewhere by your own account.
her achievements with cocoanuts were a revelation,data/l2arctic/YDCK/wav/arctic_b0187.wav,YDCK,Korean,F,her treatments with coconuts were a revelation.
he glanced down at her helplessly and moistened his lips,data/l2arctic/YDCK/wav/arctic_b0188.wav,YDCK,Korean,F,he glanced down at her helplessly and moistened his lips.
that is what distinguishes all of us from the lower animals,data/l2arctic/YDCK/wav/arctic_b0189.wav,YDCK,Korean,F,that is what distinguishes all of us from the lower animals.
he also contended that better confidence was established by carrying no weapons,data/l2arctic/YDCK/wav/arctic_b0191.wav,YDCK,Korean,F,he also contended that better confidence was established by carrying no weapons.
outsiders are allowed five minute speeches the sick man urged,data/l2arctic/YDCK/wav/arctic_b0192.wav,YDCK,Korean,F,outsiders are allowed 5-minute speeches. the sick men urge it.
so was packards finish suicide,data/l2arctic/YDCK/wav/arctic_b0193.wav,YDCK,Korean,F,so was packer's finnish suicide.
joan cried with shining eyes,data/l2arctic/YDCK/wav/arctic_b0194.wav,YDCK,Korean,F,joanne cried with shining eyes.
nobody knows how the natives got them,data/l2arctic/YDCK/wav/arctic_b0195.wav,YDCK,Korean,F,nobody knows how the natives got them.
how can you manage all alone mister young,data/l2arctic/YDCK/wav/arctic_b0196.wav,YDCK,Korean,F,"how can you manage all alone, mr. young?"
the planters are already considering the matter,data/l2arctic/YDCK/wav/arctic_b0197.wav,YDCK,Korean,F,the planters are already considering the matter.
i use great trouble advisedly,data/l2arctic/YDCK/wav/arctic_b0198.wav,YDCK,Korean,F,i use great trouble advisedly.
dear sir your second victim has fallen on schedule time,data/l2arctic/YDCK/wav/arctic_b0199.wav,YDCK,Korean,F,"dear sir, your second victim has fallen on scheduled time."
we leave the eventuality to time and law,data/l2arctic/YDCK/wav/arctic_b0200.wav,YDCK,Korean,F,relieve the eventuality to time and law.
i also understand that similar branch organizations have made their appearance in europe,data/l2arctic/YDCK/wav/arctic_b0201.wav,YDCK,Korean,F,i also understand that similar branch organizations have made their appearance in europe.
society is shaken to its foundations,data/l2arctic/YDCK/wav/arctic_b0202.wav,YDCK,Korean,F,society is shaken to its foundations.
a month in australia would finish me,data/l2arctic/YDCK/wav/arctic_b0203.wav,YDCK,Korean,F,a month in australia would finish me.
down through the perfume weighted air fluttered the snowy fluffs of the cottonwoods,data/l2arctic/YDCK/wav/arctic_b0204.wav,YDCK,Korean,F,down through the perfume waded air fluttered the snowy flops of the cotton ouds.
you were destroying my life,data/l2arctic/YDCK/wav/arctic_b0205.wav,YDCK,Korean,F,you are destroying my life.
horses and rifles had been her toys camp and trail her nursery,data/l2arctic/YDCK/wav/arctic_b0206.wav,YDCK,Korean,F,horses and reed balls had been her toys camp and trail her nursery.
you read the quotations in todays paper,data/l2arctic/YDCK/wav/arctic_b0208.wav,YDCK,Korean,F,you read the quotations in today's paper.
hes terribly touchy about his black wards as he calls them,data/l2arctic/YDCK/wav/arctic_b0209.wav,YDCK,Korean,F,he is terribly touchy about his black words as he calls them.
whatever he guessed he locked away in the taboo room of naomi,data/l2arctic/YDCK/wav/arctic_b0210.wav,YDCK,Korean,F,"whatever he guessed, he locked away in the taboo room of naomi."
this is eighteen eighty,data/l2arctic/YDCK/wav/arctic_b0211.wav,YDCK,Korean,F,this is 1880.
death is and has been ever since old maui died,data/l2arctic/YDCK/wav/arctic_b0212.wav,YDCK,Korean,F,that is and has been ever since old maui died.
some boy she laughed acquiescence,data/l2arctic/YDCK/wav/arctic_b0213.wav,YDCK,Korean,F,some boy she left a quiescence.
let us talk it over and find a way out,data/l2arctic/YDCK/wav/arctic_b0214.wav,YDCK,Korean,F,let us talk it over and find a way out.
it is a good property and worth more than that,data/l2arctic/YDCK/wav/arctic_b0215.wav,YDCK,Korean,F,it is a good property and worth more than that.!!!!!!!!!
i wish you were more adaptable joan retorted,data/l2arctic/YDCK/wav/arctic_b0216.wav,YDCK,Korean,F,i wish you were more adaptable. joanne retorted.!!!!!!!!!
such is my passage engaged on the steamer,data/l2arctic/YDCK/wav/arctic_b0217.wav,YDCK,Korean,F,such is my passage engaged on the streamer.!!!!!!!!!
the issue was not in doubt,data/l2arctic/YDCK/wav/arctic_b0218.wav,YDCK,Korean,F,the issue was not in doubt.!!!!!!!!!
well there are better men in hawaii thats all,data/l2arctic/YDCK/wav/arctic_b0219.wav,YDCK,Korean,F,"well, there are better men in hawaii, that's all.!!!!!!!!!"
harry bancroft dave lied,data/l2arctic/YDCK/wav/arctic_b0220.wav,YDCK,Korean,F,"harry bancroft, dave light!!!!!!!!!"
its a yankee joan cried,data/l2arctic/YDCK/wav/arctic_b0221.wav,YDCK,Korean,F,"it's a yankee, joanne cried.!!!!!!!!!"
he was the leader and tudor was his lieutenant,data/l2arctic/YDCK/wav/arctic_b0222.wav,YDCK,Korean,F,he was the leader and tudor was his lieutenant.!!!!!!!!!
they likewise are disinclined to being eaten,data/l2arctic/YDCK/wav/arctic_b0223.wav,YDCK,Korean,F,they likewise are disinclined to being eaten.!!!!!!!!!
the president of the united states was his friend,data/l2arctic/YDCK/wav/arctic_b0225.wav,YDCK,Korean,F,the president of the united states was his friend.!!!!!!!!!
your face was the personification of duplicity,data/l2arctic/YDCK/wav/arctic_b0226.wav,YDCK,Korean,F,your face was the personification of duplicity.!!!!!!!!!
shorty turned to their employers,data/l2arctic/YDCK/wav/arctic_b0227.wav,YDCK,Korean,F,shorty turned to their employers.!!!!!!!!!
you were engaged,data/l2arctic/YDCK/wav/arctic_b0228.wav,YDCK,Korean,F,you were engaged.!!!!!!!!!
i saw it all myself and it was splendid,data/l2arctic/YDCK/wav/arctic_b0229.wav,YDCK,Korean,F,i saw it all myself and it was splendid.!!!!!!!!!
now run along and tell them to hurry,data/l2arctic/YDCK/wav/arctic_b0230.wav,YDCK,Korean,F,now run along and tell them to hurry.!!!!!!!!!
whats that grub thief got to do with it,data/l2arctic/YDCK/wav/arctic_b0231.wav,YDCK,Korean,F,what's that corrupt thief got to do with it?!!!!!!!!!
it was a superb picture,data/l2arctic/YDCK/wav/arctic_b0232.wav,YDCK,Korean,F,it was a superb picture.!!!!
so she said the irate skipper dashed on,data/l2arctic/YDCK/wav/arctic_b0233.wav,YDCK,Korean,F,so she set the irate skipper that she's on.!!!!
and watch out for wet feet was his parting advice,data/l2arctic/YDCK/wav/arctic_b0234.wav,YDCK,Korean,F,and watch out for wet feet was his parting advice.!!!!
raoul yelled in order to make himself heard,data/l2arctic/YDCK/wav/arctic_b0235.wav,YDCK,Korean,F,raoul yelled in order to make himself heard.!!!!
oolong was two hundred and fifty miles from the nearest land,data/l2arctic/YDCK/wav/arctic_b0236.wav,YDCK,Korean,F,wulong was 250 miles from the nearest land.!!!!
they just lay off in the bush and plugged away,data/l2arctic/YDCK/wav/arctic_b0237.wav,YDCK,Korean,F,they just lay off in the bush and plucked away.!!!!
the very thought of the effort to swim over was nauseating,data/l2arctic/YDCK/wav/arctic_b0238.wav,YDCK,Korean,F,the very thought of the effort to swim over was nauseating.!!!!
and there was a dog that barked,data/l2arctic/YDCK/wav/arctic_b0239.wav,YDCK,Korean,F,and there was a dog that barked.!!!!
there are four all low mcoy answered,data/l2arctic/YDCK/wav/arctic_b0240.wav,YDCK,Korean,F,there are four or low. mccoy answered.!!!!
bill lingered contemplating his work with artistic appreciation,data/l2arctic/YDCK/wav/arctic_a0561.wav,YDCK,Korean,F,bill lingert contemplating his work with artistic appreciation.!!!!
but well just postpone this,data/l2arctic/YDCK/wav/arctic_a0578.wav,YDCK,Korean,F,but we will just postpone this.!!!!
you got out by fighting and i through a pretty girl,data/l2arctic/YDCK/wav/arctic_b0002.wav,YDCK,Korean,F,you got out by fighting and i threw a pretty girl.!!!!
he made no reply as he waited for whittemore to continue,data/l2arctic/YDCK/wav/arctic_b0020.wav,YDCK,Korean,F,he made no reply as he waited for whitmore to continue.!!!!
philip knew that she was not an indian,data/l2arctic/YDCK/wav/arctic_b0037.wav,YDCK,Korean,F,philip knew that she was not an indian.!!!!
he understood the meaning of the look,data/l2arctic/YDCK/wav/arctic_b0054.wav,YDCK,Korean,F,he understood the meaning of the look.!!!!
there was no answer from the other side,data/l2arctic/YDCK/wav/arctic_b0071.wav,YDCK,Korean,F,there was no answer from the other side.!!!!
until i die he exclaimed,data/l2arctic/YDCK/wav/arctic_b0088.wav,YDCK,Korean,F,"until i die, he exclaimed."
i know that you are in charge there and jeanne knows,data/l2arctic/YDCK/wav/arctic_b0105.wav,YDCK,Korean,F,i know that you are in charge there and jenny knows.
philip saw macdougall soon after his short talk with thorpe,data/l2arctic/YDCK/wav/arctic_b0122.wav,YDCK,Korean,F,phillips on macdougall soon after his short talk with thorpe.
together they ate the rabbit,data/l2arctic/YDCK/wav/arctic_b0139.wav,YDCK,Korean,F,together they ate the rabbit.
for that reason le beau had chosen him to fight the big fight,data/l2arctic/YDCK/wav/arctic_b0156.wav,YDCK,Korean,F,"for that reason, lebar had chosen him to fight the big fight."
to these he gave castor oil,data/l2arctic/YDCK/wav/arctic_b0173.wav,YDCK,Korean,F,to this he gave castor oil.
idealism led him to philosophic anarchy and his family threw him off,data/l2arctic/YDCK/wav/arctic_b0190.wav,YDCK,Korean,F,idealism led him to philosophic anarchy and his family threw him off.
im as good as a man she urged,data/l2arctic/YDCK/wav/arctic_b0207.wav,YDCK,Korean,F,"i'm as good as a man, she urged."
the japanese understood as we could never school ourselves or hope to understand,data/l2arctic/YDCK/wav/arctic_b0242.wav,YDCK,Korean,F,the japanese understood as we could never school ourselves or hope to understand.
they had been on the same lay as ourselves,data/l2arctic/YDCK/wav/arctic_b0243.wav,YDCK,Korean,F,they have been on the same lay as ourselves.
you are positively soulless he said savagely,data/l2arctic/YDCK/wav/arctic_b0244.wav,YDCK,Korean,F,"you are positively soulless, he said savagely."
harrison is still my chauffeur,data/l2arctic/YDCK/wav/arctic_b0245.wav,YDCK,Korean,F,harrison is still my chauffeur
the boy grew and prospered,data/l2arctic/YDCK/wav/arctic_b0246.wav,YDCK,Korean,F,the boy grew and prospered.
he wanted to give the finish to this foe already so far gone,data/l2arctic/YDCK/wav/arctic_b0247.wav,YDCK,Korean,F,he wanted to give the finish to this fall already so far gone.
exciting times are the lot of the fish patrol,data/l2arctic/YDCK/wav/arctic_b0248.wav,YDCK,Korean,F,exciting times are the lot of the fish patrol.
i know they are my oysters,data/l2arctic/YDCK/wav/arctic_b0249.wav,YDCK,Korean,F,i know they are my oysters.
by this time charley was as enraged as the greek,data/l2arctic/YDCK/wav/arctic_b0250.wav,YDCK,Korean,F,"by this time, charlie was as enraged as the greek."
they must have been swept away by the chaotic currents,data/l2arctic/YDCK/wav/arctic_b0251.wav,YDCK,Korean,F,they must have been swept away by the chaotic currents.
it resembled tea less than lager beer resembles champagne,data/l2arctic/YDCK/wav/arctic_b0252.wav,YDCK,Korean,F,it resembles tea less than lager beer resembles champagne.
the very opposite is true they are discouraged vagabonds,data/l2arctic/YDCK/wav/arctic_b0253.wav,YDCK,Korean,F,the very opposite is true. they are discouraged beggar bonds.
at the same time spears and arrows began to fall among the invaders,data/l2arctic/YDCK/wav/arctic_b0254.wav,YDCK,Korean,F,"at the same time, spears and arrows began to fall among the invaders."
then again tudor had such an irritating way about him,data/l2arctic/YDCK/wav/arctic_b0255.wav,YDCK,Korean,F,"then again, tudor has such an irritating way about him."
outwardly he maintained a calm and smiling aspect,data/l2arctic/YDCK/wav/arctic_b0256.wav,YDCK,Korean,F,"outwardly, he maintained the calm and smiling aspect."
tudor surveyed him with withering disgust,data/l2arctic/YDCK/wav/arctic_b0257.wav,YDCK,Korean,F,tutor surveyed him with withering disgust.
her mouth opened but instead of speaking she drew a long sigh,data/l2arctic/YDCK/wav/arctic_b0259.wav,YDCK,Korean,F,"her mouth opened, but instead of speaking, she drew a long sigh."
its worth eight dollars,data/l2arctic/YDCK/wav/arctic_b0260.wav,YDCK,Korean,F,is worth $8.
and he did hurt my arm,data/l2arctic/YDCK/wav/arctic_b0261.wav,YDCK,Korean,F,and he did hurt my arm.
saxons onto her job,data/l2arctic/YDCK/wav/arctic_b0262.wav,YDCK,Korean,F,saxons onto her job.
only once did i confide the strangeness of it all to another,data/l2arctic/YDCK/wav/arctic_b0263.wav,YDCK,Korean,F,only once did i confide the strangeness of it all to another.
but this time it was saxon who rebelled,data/l2arctic/YDCK/wav/arctic_b0264.wav,YDCK,Korean,F,but this time it was saxon who rebelled.
i was not to cry out in the face of fear,data/l2arctic/YDCK/wav/arctic_b0265.wav,YDCK,Korean,F,i was not to cry out in the face of fear.
and now put yourself in my place for a moment,data/l2arctic/YDCK/wav/arctic_b0266.wav,YDCK,Korean,F,and now put yourself in my place for a moment.
the boy threw back his head with pride,data/l2arctic/YDCK/wav/arctic_b0267.wav,YDCK,Korean,F,the boy threw back his hat with pride.
saxon nodded and the boy frowned,data/l2arctic/YDCK/wav/arctic_b0268.wav,YDCK,Korean,F,saxon nodded and the boy frowned.
why not like any railroad station or ferry depot,data/l2arctic/YDCK/wav/arctic_b0269.wav,YDCK,Korean,F,why not like any railroad station or ferry depot?
we could throw stones with our feet,data/l2arctic/YDCK/wav/arctic_b0270.wav,YDCK,Korean,F,we could throw stones with our feet.
it was put together in a casual helter skelter sort of way,data/l2arctic/YDCK/wav/arctic_b0271.wav,YDCK,Korean,F,it was put together in a casual helter-skelter sort of way.
these were merely stout sticks an inch or so in diameter,data/l2arctic/YDCK/wav/arctic_b0272.wav,YDCK,Korean,F,"these were merely stout sticks, an inch or so in diameter."
then it was that a strange thing happened,data/l2arctic/YDCK/wav/arctic_b0273.wav,YDCK,Korean,F,then it was that a strange thing happened.
from the source of light a harsh voice said,data/l2arctic/YDCK/wav/arctic_b0274.wav,YDCK,Korean,F,from the source of light or harsh voice set.
we were now good friends,data/l2arctic/YDCK/wav/arctic_b0276.wav,YDCK,Korean,F,we are now two friends.
two of the folk were already up,data/l2arctic/YDCK/wav/arctic_b0277.wav,YDCK,Korean,F,two of the fog were already up.
now animals do not like mockery,data/l2arctic/YDCK/wav/arctic_b0278.wav,YDCK,Korean,F,now animals do not like macquarie.
he gave one last snarl and slid from view among the trees,data/l2arctic/YDCK/wav/arctic_b0279.wav,YDCK,Korean,F,he gave one last snarl and slid from view among the trees.
again the girls applauded and missus hall cried,data/l2arctic/YDCK/wav/arctic_b0280.wav,YDCK,Korean,F,again the girls applauded and mrs. hall cried.
just the same id sooner be myself than have book indigestion,data/l2arctic/YDCK/wav/arctic_b0281.wav,YDCK,Korean,F,"just the same, i'd sooner be myself than have book indigestion."
some of the smaller veins had doubtless been ruptured,data/l2arctic/YDCK/wav/arctic_b0282.wav,YDCK,Korean,F,some of the smaller veins had doubtless been ruptured.
but we were without this momentum,data/l2arctic/YDCK/wav/arctic_b0283.wav,YDCK,Korean,F,but we were without this momentum.
there was one difficulty however,data/l2arctic/YDCK/wav/arctic_b0284.wav,YDCK,Korean,F,"there was one difficulty, however.!!"
the hyena proceeded to dine,data/l2arctic/YDCK/wav/arctic_b0285.wav,YDCK,Korean,F,the hina proceeded to dine.!!
the time was considered auspicious,data/l2arctic/YDCK/wav/arctic_b0286.wav,YDCK,Korean,F,the time was considered auspicious.!!
or have they already devised one,data/l2arctic/YDCK/wav/arctic_b0287.wav,YDCK,Korean,F,or have they already devised one?!!
we would not spend another such night,data/l2arctic/YDCK/wav/arctic_b0288.wav,YDCK,Korean,F,we would not spend another such night.!!
at first his progress was slow and erratic,data/l2arctic/YDCK/wav/arctic_b0289.wav,YDCK,Korean,F,"at first, his progress was slow and erratic.!!"
he placed his paw on one and its movements were accelerated,data/l2arctic/YDCK/wav/arctic_b0290.wav,YDCK,Korean,F,he placed his paw on one and its movements were accelerated.!!
the awe of man rushed over him again,data/l2arctic/YDCK/wav/arctic_b0291.wav,YDCK,Korean,F,the all of man rushed over him again.!!
between him and all domestic animals there must be no hostilities,data/l2arctic/YDCK/wav/arctic_b0293.wav,YDCK,Korean,F,between him and all domestic animals there must be no hostilities.!!
for a much longer time lop ear and i remained and watched,data/l2arctic/YDCK/wav/arctic_b0294.wav,YDCK,Korean,F,"for a much longer time, lap ear and i remained and watched it.!!"
all right sir replied jock with great regret,data/l2arctic/YDCK/wav/arctic_b0295.wav,YDCK,Korean,F,"o'rycer replied, jock with great regret.!!"
at times i wondered where sir archibald got his style,data/l2arctic/YDCK/wav/arctic_b0296.wav,YDCK,Korean,F,"at times, i wondered where sir archibald got his style.!!"
why should a fellow throw up the sponge after the first round,data/l2arctic/YDCK/wav/arctic_b0297.wav,YDCK,Korean,F,why should a fellow throw up the sponge after the first round?!!
his hand shot out and clutched crooked leg by the neck,data/l2arctic/YDCK/wav/arctic_b0298.wav,YDCK,Korean,F,his hand shut out and clutched crooked leg by the neck.!!
miss brodies smile was slightly sarcastic,data/l2arctic/YDCK/wav/arctic_b0299.wav,YDCK,Korean,F,miss brody's smile was slightly sarcastic.!!
does the old boy often go off at half cock that way,data/l2arctic/YDCK/wav/arctic_b0300.wav,YDCK,Korean,F,does the old boy often go off at half cock that way?!!
a flying arrow passed between us,data/l2arctic/YDCK/wav/arctic_b0301.wav,YDCK,Korean,F,a flying arrow passed between us.
i pulled suddenly with all my might,data/l2arctic/YDCK/wav/arctic_b0302.wav,YDCK,Korean,F,i pulled suddenly with all my might.
