transcription,path_to_audio,speaker_id,native_language,gender,sew_small_transcriptions
wash your hands of me,data/l2arctic/YDCK/wav/arctic_a0240.wav,YDCK,Korean,F,whye syoure hans of mey
i think its much nicer to quarrel,data/l2arctic/YDCK/wav/arctic_a0241.wav,YDCK,Korean,F,a fink its much niceer to curl
i saw it when she rolled,data/l2arctic/YDCK/wav/arctic_a0242.wav,YDCK,Korean,F,i sow eat when she walled
i only read the quotations,data/l2arctic/YDCK/wav/arctic_a0243.wav,YDCK,Korean,F,i only reedocportations
he was the soul of devotion to his employers,data/l2arctic/YDCK/wav/arctic_a0244.wav,YDCK,Korean,F,he was the sol of devotiion to his emplowyers
out of his eighteen hundred he laid aside sixteen hundred each year,data/l2arctic/YDCK/wav/arctic_a0245.wav,YDCK,Korean,F,outofies eighteen hundread he  layed bsside sixteen hundread each ear
you have heard always how he was the lover of the princess naomi,data/l2arctic/YDCK/wav/arctic_a0246.wav,YDCK,Korean,F,you have heard always how she was the luber of the princesss nowome
they ought to pass here some time today,data/l2arctic/YDCK/wav/arctic_a0247.wav,YDCK,Korean,F,day autor pas heer sometie today
i had been sad too long already,data/l2arctic/YDCK/wav/arctic_a0248.wav,YDCK,Korean,F,i had been saut to longaready
all eyes however were staring at him in certitude of expectancy,data/l2arctic/YDCK/wav/arctic_a0249.wav,YDCK,Korean,F,ol eyes however were staring at him insertitud of expectancy
he had observed the business life of hawaii and developed a vaulting ambition,data/l2arctic/YDCK/wav/arctic_a0250.wav,YDCK,Korean,F,he had obtirbed a bisneas life ova howiy and deveoped of voullting ambision
i may manage to freight a cargo back as well,data/l2arctic/YDCK/wav/arctic_a0251.wav,YDCK,Korean,F,i may manish to fraits a cargo back as welll
obrien had been a clean living young man with ideals,data/l2arctic/YDCK/wav/arctic_a0252.wav,YDCK,Korean,F,abriin ha been a cleen living young man wit idears
he it was that lived to found the family of the patino,data/l2arctic/YDCK/wav/arctic_a0253.wav,YDCK,Korean,F,he it was that lived to found e family ov thepateno
straight out they swam their heads growing smaller and smaller,data/l2arctic/YDCK/wav/arctic_a0254.wav,YDCK,Korean,F,strai out thaye swemtherehats gowing smoller and smoler
see the length of the body and that elongated neck,data/l2arctic/YDCK/wav/arctic_a0256.wav,YDCK,Korean,F,see the lengts of the body and duat ilengatit neck
they are coming ashore whoever they are,data/l2arctic/YDCK/wav/arctic_a0257.wav,YDCK,Korean,F,they are comming o swar who eberthey are
soaked in seawater they offset the heat rays,data/l2arctic/YDCK/wav/arctic_a0258.wav,YDCK,Korean,F,soked in sweaterdeay off sat the heiit rase
think of investing in such an adventure,data/l2arctic/YDCK/wav/arctic_a0259.wav,YDCK,Korean,F,fhinkove embasting in such an adventure
nobody knew his history they of the junta least of all,data/l2arctic/YDCK/wav/arctic_a0260.wav,YDCK,Korean,F,nobody new his histery day ofthe jentille lest of all
i have been doubly baptized,data/l2arctic/YDCK/wav/arctic_a0261.wav,YDCK,Korean,F,i have bin doublly  buptised
they wouldnt be sweeping a big vessel like the martha,data/l2arctic/YDCK/wav/arctic_a0262.wav,YDCK,Korean,F,thay udunbee swipping a big vessle like the mrorfa
joan looked triumphantly at sheldon who bowed,data/l2arctic/YDCK/wav/arctic_a0263.wav,YDCK,Korean,F,do aell looked triumfhantly a shelldin who bouwd
and i hope youve got plenty of chain out captain young,data/l2arctic/YDCK/wav/arctic_a0264.wav,YDCK,Korean,F,and i hope youve got planny of chain out ceptin yo
the discovery seemed to have been made on the spur of the moment,data/l2arctic/YDCK/wav/arctic_a0265.wav,YDCK,Korean,F,the discorey semed to have be made on the spir of the moment
they handled two men already both grub thieves,data/l2arctic/YDCK/wav/arctic_a0266.wav,YDCK,Korean,F,they handeed to men aready bothscrop feaves
eli harding asked as shunk started to follow,data/l2arctic/YDCK/wav/arctic_a0267.wav,YDCK,Korean,F,ally harging ast as shunk stoded to follow
now go ahead and tell me in a straightforward way what has happened,data/l2arctic/YDCK/wav/arctic_a0268.wav,YDCK,Korean,F,now goa had and tell me in aer straghforwardd way what has hapened
thats where they cut off the scottish chiefs and killed all hands,data/l2arctic/YDCK/wav/arctic_a0269.wav,YDCK,Korean,F,thes ware they cut of the scotaghe chiffts and kiled all hans
and after the bath a shave would not be bad,data/l2arctic/YDCK/wav/arctic_a0270.wav,YDCK,Korean,F,an aptordup bath a shafe  would not be bat
now please give a plain statement of what occurred,data/l2arctic/YDCK/wav/arctic_a0271.wav,YDCK,Korean,F,now please givebo plan statement of what ocur
they are big trees and require plenty of room,data/l2arctic/YDCK/wav/arctic_a0273.wav,YDCK,Korean,F,ther big trees and require plany o room
and raoul listened again to the tale of the house,data/l2arctic/YDCK/wav/arctic_a0274.wav,YDCK,Korean,F,an bowl lison again to th tail op the house
there are no kiddies and half grown youths among them,data/l2arctic/YDCK/wav/arctic_a0275.wav,YDCK,Korean,F,the e are no keaties and haff groing ut among them
oolong atoll was one hundred and forty miles in circumference,data/l2arctic/YDCK/wav/arctic_a0276.wav,YDCK,Korean,F,hlo a toll was one hundread an forty miles in surcomfraence
mcoy found a stifling poisonous atmosphere in the pent cabin,data/l2arctic/YDCK/wav/arctic_a0277.wav,YDCK,Korean,F,macoyfownd as tip foling puusinaes adimas feear in the pant caben
it would give me nervous prostration,data/l2arctic/YDCK/wav/arctic_a0278.wav,YDCK,Korean,F,it ook give me nervause prusterration
she said with chattering teeth,data/l2arctic/YDCK/wav/arctic_a0279.wav,YDCK,Korean,F,she stad with chuccelling teef
ill be out of my head in fifteen minutes,data/l2arctic/YDCK/wav/arctic_a0280.wav,YDCK,Korean,F,i will be out of my ha in fifty mintes
i do not blame you for anything remember that,data/l2arctic/YDCK/wav/arctic_a0281.wav,YDCK,Korean,F,i do not blam you for anything rememmber that
if you mean to insinuate brentwood began hotly,data/l2arctic/YDCK/wav/arctic_a0282.wav,YDCK,Korean,F,if you mean to in seanwatbrent ud begain hubly
the woman in you is only incidental accidental and irrelevant,data/l2arctic/YDCK/wav/arctic_a0283.wav,YDCK,Korean,F,the woman  new is only insidental axidental an irellovant
there was no forecasting this strange girls processes,data/l2arctic/YDCK/wav/arctic_a0284.wav,YDCK,Korean,F,there was no for casting this strange girs proceces
but what they want with your toothbrush is more than i can imagine,data/l2arctic/YDCK/wav/arctic_a0285.wav,YDCK,Korean,F,but what dey want wider tooothbrush is more tan y canemagin
give them their choice between a fine or an official whipping,data/l2arctic/YDCK/wav/arctic_a0286.wav,YDCK,Korean,F,gipdon theyreachoice between a fine or an ofetuere wipting
keep an eye on him,data/l2arctic/YDCK/wav/arctic_a0287.wav,YDCK,Korean,F,she wa an eee on him
those are my oysters he said at last,data/l2arctic/YDCK/wav/arctic_a0288.wav,YDCK,Korean,F,those are mey oysters he said at lost
one by one the boys were captured,data/l2arctic/YDCK/wav/arctic_a0290.wav,YDCK,Korean,F,one by won the boys were kepteart
the weeks had gone by and no overt acts had been attempted,data/l2arctic/YDCK/wav/arctic_a0291.wav,YDCK,Korean,F,the wices had gone by and no overt acts had beeen attemted
here in the midmorning the first casualty occurred,data/l2arctic/YDCK/wav/arctic_a0292.wav,YDCK,Korean,F,herere in dhe mi morning the first cresolity occur
they were deep in the primeval forest,data/l2arctic/YDCK/wav/arctic_a0293.wav,YDCK,Korean,F,they ware deep induppremebal forest
he had been foiled in his attempt to escape,data/l2arctic/YDCK/wav/arctic_a0294.wav,YDCK,Korean,F,he had been foiled in his atime to eascape
and twenty men could hold it with spears and arrows,data/l2arctic/YDCK/wav/arctic_a0295.wav,YDCK,Korean,F,and teny man could holld it with spears and erows
bassett was a fastidious man,data/l2arctic/YDCK/wav/arctic_a0296.wav,YDCK,Korean,F,baskae was o festeidiaus man
theres a big english general right now whose name is roberts,data/l2arctic/YDCK/wav/arctic_a0297.wav,YDCK,Korean,F,there is abic inglish general ragh now whos namous roberts
this tacit promise of continued acquaintance gave saxon a little joy thrill,data/l2arctic/YDCK/wav/arctic_a0298.wav,YDCK,Korean,F,thistessi promess ov continuet oquaintnance gave sexin a littl joy threl
i tell you i am disgusted with this adventure tomfoolery and rot,data/l2arctic/YDCK/wav/arctic_a0299.wav,YDCK,Korean,F,a tell you im discustid with disadvantur tom folurry arenedert
from my earliest recollection my sleep was a period of terror,data/l2arctic/YDCK/wav/arctic_a0300.wav,YDCK,Korean,F,for my odest recolctiu ma sleep was apearreat oftearerer
but all my dreams violated this law,data/l2arctic/YDCK/wav/arctic_a0301.wav,YDCK,Korean,F,but all my reams violated this law
it is very plausible to such people a most convincing hypothesis,data/l2arctic/YDCK/wav/arctic_a0302.wav,YDCK,Korean,F,it is very plosable to suchpeeble armost convencing hiy pothisis
but they make the mistake of ignoring their own duality,data/l2arctic/YDCK/wav/arctic_a0303.wav,YDCK,Korean,F,but dhey make the mistake of egnoring theyre own d llty
i graduated last of my class,data/l2arctic/YDCK/wav/arctic_a0304.wav,YDCK,Korean,F,i aggreserateet lost of my clost
they had no fixed values to be altered by adjectives and adverbs,data/l2arctic/YDCK/wav/arctic_a0305.wav,YDCK,Korean,F,the had no fixt values to bbe ortered b asictives an adiverts
very early in my life i separated from my mother,data/l2arctic/YDCK/wav/arctic_a0307.wav,YDCK,Korean,F,very only in my lie i superated from my mother
his infernal chattering worries me even now as i think of it,data/l2arctic/YDCK/wav/arctic_a0308.wav,YDCK,Korean,F,his infornooor chatering warries me even now as i think of it
white leghorns said missus mortimer,data/l2arctic/YDCK/wav/arctic_a0309.wav,YDCK,Korean,F,ik llik horns sat missis mortumur
massage under tension was the cryptic reply,data/l2arctic/YDCK/wav/arctic_a0310.wav,YDCK,Korean,F,meses ontheirtansen was tecriptic reply
therefore hurrah for the game,data/l2arctic/YDCK/wav/arctic_a0311.wav,YDCK,Korean,F,dere fore heray for degain
it lived in perpetual apprehension of that quarter of the compass,data/l2arctic/YDCK/wav/arctic_a0312.wav,YDCK,Korean,F,it lived imprepaturaall opresssion opduide carder opthecompast
broken tooth yelled with fright and pain,data/l2arctic/YDCK/wav/arctic_a0313.wav,YDCK,Korean,F,broken touth yelld witch frighte and pain
thus was momentum gained in the younger world,data/l2arctic/YDCK/wav/arctic_a0314.wav,YDCK,Korean,F,thus was momenta gained in the yonger wort
saxon waited for she knew a fresh idea had struck billy,data/l2arctic/YDCK/wav/arctic_a0315.wav,YDCK,Korean,F,sexson watit for she new a fresh idear had stocd billy
we had been chased by them ourselves more than once,data/l2arctic/YDCK/wav/arctic_a0316.wav,YDCK,Korean,F,we had beeen chaced by dem our solbs more than once
he was a wise hyena,data/l2arctic/YDCK/wav/arctic_a0317.wav,YDCK,Korean,F,he was a wice ena
production is doubling and quadrupling upon itself,data/l2arctic/YDCK/wav/arctic_a0318.wav,YDCK,Korean,F,pretection is dobling andquart doubling aponysolf
and the edinburgh evening news says with editorial gloom,data/l2arctic/YDCK/wav/arctic_a0319.wav,YDCK,Korean,F,and the adburk evening new saswith aditorbial glom
with my strength i slammed it full into red eyes face,data/l2arctic/YDCK/wav/arctic_a0320.wav,YDCK,Korean,F,with my thrangsi slemedeit full into red eyes face
the log on which lop ear was lying got adrift,data/l2arctic/YDCK/wav/arctic_a0321.wav,YDCK,Korean,F,the lok on which lop ear was ling gut adript
this is a common experience with all of us,data/l2arctic/YDCK/wav/arctic_a0322.wav,YDCK,Korean,F,theses are common experiens wed all of us
it was not red eyes way to forego revenge so easily,data/l2arctic/YDCK/wav/arctic_a0324.wav,YDCK,Korean,F,it was not beat eyes wa to forgo revenge so easily
whiz zip bang lop ear screamed with sudden anguish,data/l2arctic/YDCK/wav/arctic_a0325.wav,YDCK,Korean,F,weeets jep banglop er screamed with sudden anquish
cherokee identified himself with his instinct,data/l2arctic/YDCK/wav/arctic_a0326.wav,YDCK,Korean,F,teroky identified himself withis instinct
they were less stooped than we less springy in their movements,data/l2arctic/YDCK/wav/arctic_a0327.wav,YDCK,Korean,F,they wel less stupe than we lessspringing in their movements
the fire people like ourselves lived in caves,data/l2arctic/YDCK/wav/arctic_a0328.wav,YDCK,Korean,F,the fire poople like our sopes libed incaves
ah indeed,data/l2arctic/YDCK/wav/arctic_a0329.wav,YDCK,Korean,F,inded
red eye never committed a more outrageous deed,data/l2arctic/YDCK/wav/arctic_a0330.wav,YDCK,Korean,F,read i never comited a more outragues dat
poor little crooked leg was terribly scared,data/l2arctic/YDCK/wav/arctic_a0331.wav,YDCK,Korean,F,poor littl ooed lack was terablly sgrt
unconsciously our yells and exclamations yielded to this rhythm,data/l2arctic/YDCK/wav/arctic_a0332.wav,YDCK,Korean,F,unconciously owur yels and exclemations ilded to disrithm
this is no place for you,data/l2arctic/YDCK/wav/arctic_a0333.wav,YDCK,Korean,F,this es no place for you
he will knock you off a few sticks in no time,data/l2arctic/YDCK/wav/arctic_a0334.wav,YDCK,Korean,F,he willl not be of a few stics in no time
red eye swung back and forth on the branch farther down,data/l2arctic/YDCK/wav/arctic_a0335.wav,YDCK,Korean,F,red eyeswung back and forse on the branch father down
so unexpected was my charge that i knocked him off his feet,data/l2arctic/YDCK/wav/arctic_a0336.wav,YDCK,Korean,F,so unexpectid was my chrge that ienocked him offhis fit
encouraged by my conduct big face became a sudden ally,data/l2arctic/YDCK/wav/arctic_a0337.wav,YDCK,Korean,F,incorage it by my conduct big fase became a suddenalli
the fighting had now become intermittent,data/l2arctic/YDCK/wav/arctic_a0338.wav,YDCK,Korean,F,the fiting had now become intermetent
they obeyed him and went here and there at his commands,data/l2arctic/YDCK/wav/arctic_a0339.wav,YDCK,Korean,F,they obeyd him and went heer and thar at his commans
why doggone you all shake again,data/l2arctic/YDCK/wav/arctic_a0341.wav,YDCK,Korean,F,why degon you all shak again
seventeen no eighteen days ago,data/l2arctic/YDCK/wav/arctic_a0342.wav,YDCK,Korean,F,seven teen no eigh teen days ago
you mean for this state general alberta,data/l2arctic/YDCK/wav/arctic_a0343.wav,YDCK,Korean,F,you mean for this state general olbuta
he seemed to fill it with his tremendous vitality,data/l2arctic/YDCK/wav/arctic_a0344.wav,YDCK,Korean,F,he seeme to fil it wih hs tremendus biy tlity
she was trying to pass the apron string around him,data/l2arctic/YDCK/wav/arctic_a0345.wav,YDCK,Korean,F,she was trying to pasthe aprnstreeing around him
get down and dig in,data/l2arctic/YDCK/wav/arctic_a0346.wav,YDCK,Korean,F,get down and degin
they are greatly delighted with anything that is bright or giveth a sound,data/l2arctic/YDCK/wav/arctic_a0347.wav,YDCK,Korean,F,they ar greatl deligted with anything that is brit orgivet asound
they only lifted seven hundred and fifty,data/l2arctic/YDCK/wav/arctic_a0348.wav,YDCK,Korean,F,the only litit seben hundread and fipty
it was simple in its way and no virtue of his,data/l2arctic/YDCK/wav/arctic_a0349.wav,YDCK,Korean,F,it was simple in hisway an no vertu of his
is that pat hanrahans mug looking hungry and willing,data/l2arctic/YDCK/wav/arctic_a0350.wav,YDCK,Korean,F,is that pathanmy hans molk looking hungry and willing
it was more like sugar,data/l2arctic/YDCK/wav/arctic_a0351.wav,YDCK,Korean,F,edro s mall likke shger
im sure going along with you all elijah,data/l2arctic/YDCK/wav/arctic_a0352.wav,YDCK,Korean,F,im sure oe going along with you  allelda
here the explosion of mirth drowned him out,data/l2arctic/YDCK/wav/arctic_a0353.wav,YDCK,Korean,F,here the expllosion of merth joned him out
fresh meat they failed to obtain,data/l2arctic/YDCK/wav/arctic_a0354.wav,YDCK,Korean,F,freshmet day fail to obtaine
a burst of laughter was his reward,data/l2arctic/YDCK/wav/arctic_a0355.wav,YDCK,Korean,F,uburst op lafter was hei s reword
you dont catch me at any such foolishness,data/l2arctic/YDCK/wav/arctic_a0356.wav,YDCK,Korean,F,youdont cash me at any such foolishnes
they continued valiantly to lie but the truth continued to outrun them,data/l2arctic/YDCK/wav/arctic_a0358.wav,YDCK,Korean,F,they continued belliently to liy but the thrus continued to out rontem
earth and gravel seemed to fill the pan,data/l2arctic/YDCK/wav/arctic_a0359.wav,YDCK,Korean,F,rth an grabls im to fild a  pan
but he no longer cared quite so much for that form of diversion,data/l2arctic/YDCK/wav/arctic_a0360.wav,YDCK,Korean,F,but he nolonger careed quit so much for that form ov divergion
but he did not broach it preferring to mature it carefully,data/l2arctic/YDCK/wav/arctic_a0361.wav,YDCK,Korean,F,but he ddid not porchet prefring to mechwar it cearefully
nope not the slightest idea,data/l2arctic/YDCK/wav/arctic_a0362.wav,YDCK,Korean,F,nopnot the slatest idear
it is not an attempt to smash the market,data/l2arctic/YDCK/wav/arctic_a0363.wav,YDCK,Korean,F,it is not a a time to smash the market
we have plenty of capital ourselves and yet we want more,data/l2arctic/YDCK/wav/arctic_a0364.wav,YDCK,Korean,F,we have pleny of capuitr ourselves and yet we want more
these rumors may even originate with us,data/l2arctic/YDCK/wav/arctic_a0365.wav,YDCK,Korean,F,these rormers may even or reasonad with us
a wildly exciting time was his during the week preceding thursday the eighteenth,data/l2arctic/YDCK/wav/arctic_a0366.wav,YDCK,Korean,F,alridelly eciding time was his juring the wik preceeding thirsday the eitteenth
there is not an iota of truth in it certainly not,data/l2arctic/YDCK/wav/arctic_a0367.wav,YDCK,Korean,F,youres nodun iy order of trusinit sunnly not
i just do appreciate it without being able to express my feelings,data/l2arctic/YDCK/wav/arctic_a0368.wav,YDCK,Korean,F,i jues to appreciate it without being abe to express my feelings
in partnership with daylight the pair raided the san jose interurban,data/l2arctic/YDCK/wav/arctic_a0369.wav,YDCK,Korean,F,impertaonaship with dayligt the pear radead desssenjusaintor roben
he saw all men in the business game doing this,data/l2arctic/YDCK/wav/arctic_a0370.wav,YDCK,Korean,F,he saw oll man in ta bisneus game doing this
it issued a rate of forty two dollars a car on charcoal,data/l2arctic/YDCK/wav/arctic_a0371.wav,YDCK,Korean,F,it isued a raid o forty twoo dowllaers acar on charqoll
he saw only the effect in a general sketchy way,data/l2arctic/YDCK/wav/arctic_a0372.wav,YDCK,Korean,F,he sow only the efact in a general skethway
points of view new ideas life,data/l2arctic/YDCK/wav/arctic_a0373.wav,YDCK,Korean,F,oint oview new idears life
the butchers and meat cutters refused to handle meat destined for unfair restaurants,data/l2arctic/YDCK/wav/arctic_a0375.wav,YDCK,Korean,F,the bocers and meat coders refuse to hendlemet doustind for amfair resturance
your price my son is just about thirty per week,data/l2arctic/YDCK/wav/arctic_a0376.wav,YDCK,Korean,F,youre price my son is just about thirt  perwik
this sound did not disturb the hush and awe of the place,data/l2arctic/YDCK/wav/arctic_a0377.wav,YDCK,Korean,F,this sound di not desterb the hosh an ol opthe place
thats why its boundaries are all gouged and jagged,data/l2arctic/YDCK/wav/arctic_a0378.wav,YDCK,Korean,F,does wy is ponderis ore alll gougiet and ject
how old are you daddy,data/l2arctic/YDCK/wav/arctic_a0379.wav,YDCK,Korean,F,how old ar you deady
but in the canyons water was plentiful and also a luxuriant forest growth,data/l2arctic/YDCK/wav/arctic_a0380.wav,YDCK,Korean,F,but inda canaons water was plant ful and also of loukjuriant for ristgroth
my names ferguson,data/l2arctic/YDCK/wav/arctic_a0381.wav,YDCK,Korean,F,my names forgistine
daylight found himself charmed and made curious by the little man,data/l2arctic/YDCK/wav/arctic_a0382.wav,YDCK,Korean,F,day light foundhim sollp chommed a made curious by the little men
to his surprise her answer was flat and uncompromising,data/l2arctic/YDCK/wav/arctic_a0383.wav,YDCK,Korean,F,to his suprise heranser was flad an uncompramising
the farmer works the soil and produces grain,data/l2arctic/YDCK/wav/arctic_a0384.wav,YDCK,Korean,F,the farmer woks tosoial and produicis grain
thats what carnegie did,data/l2arctic/YDCK/wav/arctic_a0385.wav,YDCK,Korean,F,dets wat curnig go did
i cant argue with you and you know that,data/l2arctic/YDCK/wav/arctic_a0386.wav,YDCK,Korean,F,i chant arguidiol an you know dout
bob growing disgusted turned back suddenly and attempted to pass mab,data/l2arctic/YDCK/wav/arctic_a0387.wav,YDCK,Korean,F,bopgrowing disgusd it tuned baksudenly and atempted to pas map
it was my idea to a tee,data/l2arctic/YDCK/wav/arctic_a0388.wav,YDCK,Korean,F,it was my idear to aceey
mab she said,data/l2arctic/YDCK/wav/arctic_a0389.wav,YDCK,Korean,F,map she sat
i will go over tomorrow afternoon,data/l2arctic/YDCK/wav/arctic_a0390.wav,YDCK,Korean,F,i will go over to my rapte noon
there is that magnificent bob eating his head off in the stable,data/l2arctic/YDCK/wav/arctic_a0392.wav,YDCK,Korean,F,theres thatmeginifisant bop eating his hat of in the stable
already he had begun borrowing from the banks,data/l2arctic/YDCK/wav/arctic_a0393.wav,YDCK,Korean,F,readdy he had begoune barwing fromm the banks
its the strap hangers that will keep us from going under,data/l2arctic/YDCK/wav/arctic_a0394.wav,YDCK,Korean,F,is the srap hangersthat will kip us from going onder
as for himself werent the street railway earnings increasing steadily,data/l2arctic/YDCK/wav/arctic_a0395.wav,YDCK,Korean,F,as for himself wornt a street rayway onings increasing steadily
a rising tide of the fat has submerged them,data/l2arctic/YDCK/wav/arctic_a0396.wav,YDCK,Korean,F,a rising tite of the fad has submeurget don
call me that again he murmured ecstatically,data/l2arctic/YDCK/wav/arctic_a0397.wav,YDCK,Korean,F,toll me that again he momered axtetically
in the car were unwin and harrison while jones sat with the chauffeur,data/l2arctic/YDCK/wav/arctic_a0398.wav,YDCK,Korean,F,in the carwere onween and harrisn whilejons sad wid dok shorfor
and heres another idea,data/l2arctic/YDCK/wav/arctic_a0399.wav,YDCK,Korean,F,en heres another idear
manuel had one besetting sin,data/l2arctic/YDCK/wav/arctic_a0400.wav,YDCK,Korean,F,murol had won be seting sin
the man smiled grimly and brought a hatchet and a club,data/l2arctic/YDCK/wav/arctic_a0401.wav,YDCK,Korean,F,the man smilled grimly nd broutt ear hasit an a clop
curly rushed her antagonist who struck again and leaped aside,data/l2arctic/YDCK/wav/arctic_a0402.wav,YDCK,Korean,F,cole washed her antagonist who stoggd again a lipt oa site
his newborn cunning gave him poise and control,data/l2arctic/YDCK/wav/arctic_a0403.wav,YDCK,Korean,F,is nebuern coning gave himpoies and contrl
perrault found one with head buried in the grub box,data/l2arctic/YDCK/wav/arctic_a0404.wav,YDCK,Korean,F,perat found wambiid hadsbarried in the  grop boxs
it seems the ordained order of things that dogs should work,data/l2arctic/YDCK/wav/arctic_a0405.wav,YDCK,Korean,F,it simsthe organed older of things that dogs should work
and that was the last of francois and perrault,data/l2arctic/YDCK/wav/arctic_a0406.wav,YDCK,Korean,F,and that was the lost ov frendcouis annparrit
mercedes screamed cried laughed and manifested the chaotic abandonment of hysteria,data/l2arctic/YDCK/wav/arctic_a0407.wav,YDCK,Korean,F,mercidis screamethe crit lapt and manifestied te cay aurdic obandamaent of histheria
he could feel a new stir in the land,data/l2arctic/YDCK/wav/arctic_a0409.wav,YDCK,Korean,F,he could feil a new stur in the land
so we have to fit the boat throughout with oil lamps as well,data/l2arctic/YDCK/wav/arctic_a0410.wav,YDCK,Korean,F,so we have to fet a boa throut wih oylems as wel
it will break our hearts and our backs to hoist anchor by hand,data/l2arctic/YDCK/wav/arctic_a0411.wav,YDCK,Korean,F,it willl brak our harts and our bacs to hoaest anker by hand
there is another virtue in these bulkheads,data/l2arctic/YDCK/wav/arctic_a0412.wav,YDCK,Korean,F,there is another vuru in dis burk hats
but im at the end of my resources,data/l2arctic/YDCK/wav/arctic_a0413.wav,YDCK,Korean,F,but  im at the end of m resources
now our figuring was all right,data/l2arctic/YDCK/wav/arctic_a0414.wav,YDCK,Korean,F,now ourfiguring was all right
it lasted as a deterrent for two days,data/l2arctic/YDCK/wav/arctic_a0415.wav,YDCK,Korean,F,itlosteid as a determent for twodays
the added weight had a velocity of fifteen miles per hour,data/l2arctic/YDCK/wav/arctic_a0416.wav,YDCK,Korean,F,the addedwait had a voblosity of fiftey miles perower
it is also an insidious deceitful sun,data/l2arctic/YDCK/wav/arctic_a0417.wav,YDCK,Korean,F,it is also on insedious thisietful sun
the portuguese boy crawled nearer and nearer,data/l2arctic/YDCK/wav/arctic_a0418.wav,YDCK,Korean,F,the purhegis boy calld nererer and noor
the portuguese boy passed the hawaiian,data/l2arctic/YDCK/wav/arctic_a0419.wav,YDCK,Korean,F,the purchagis oay pasd the howayan
when i came to i was waving my hat and murmuring ecstatically,data/l2arctic/YDCK/wav/arctic_a0420.wav,YDCK,Korean,F,when i came to i was wabing my hat and momering astodicaly
by golly the boy wins,data/l2arctic/YDCK/wav/arctic_a0421.wav,YDCK,Korean,F,by agolee te bowy wins
halfway around the track one donkey got into an argument with its rider,data/l2arctic/YDCK/wav/arctic_a0422.wav,YDCK,Korean,F,hafway around the trac on dounky gott in to an arguman with its riter
mcveigh when he returns from a trip to honolulu,data/l2arctic/YDCK/wav/arctic_a0423.wav,YDCK,Korean,F,makvawhen he returns fromm a trape toe honer wroulle
obviously it was a disease that could be contracted by contact,data/l2arctic/YDCK/wav/arctic_a0424.wav,YDCK,Korean,F,obiously it was a deseas that cold be contracted by  contact
they do not know the length of time of incubation,data/l2arctic/YDCK/wav/arctic_a0426.wav,YDCK,Korean,F,they do not now the lengtsof time of indubation
enters now the psychology of the situation,data/l2arctic/YDCK/wav/arctic_a0427.wav,YDCK,Korean,F,enterest now de sycoolouse of the situration
it was not exactly a deportation,data/l2arctic/YDCK/wav/arctic_a0428.wav,YDCK,Korean,F,it was not excly o deportation
quick was the disappointment in his face yet smiling was the acquiescence,data/l2arctic/YDCK/wav/arctic_a0429.wav,YDCK,Korean,F,kig was the disopointment in his face yet smiwling was the eqquietance
nevertheless we found ourselves once more in the high seat of abundance,data/l2arctic/YDCK/wav/arctic_a0430.wav,YDCK,Korean,F,never thelless be fon or solves once more in the high seet up abundance
wada and na ka ta were in a bit of a funk,data/l2arctic/YDCK/wav/arctic_a0431.wav,YDCK,Korean,F,wada an necada were in abeat of o funk
the boy at the wheel lost his head,data/l2arctic/YDCK/wav/arctic_a0432.wav,YDCK,Korean,F,the boy at the weeal lostees hat
to her the bridge was tambo which is the native for taboo,data/l2arctic/YDCK/wav/arctic_a0433.wav,YDCK,Korean,F,to heurd the brich wrstembo wich is denaiy for tobo
a half a case of tobacco was worth three pounds,data/l2arctic/YDCK/wav/arctic_a0434.wav,YDCK,Korean,F,a haf ocasnem tobeco was worth threpowns
what do you mean by this outrageous conduct,data/l2arctic/YDCK/wav/arctic_a0435.wav,YDCK,Korean,F,what do you mean by des oure ragous conduct
but martin smiled a superior smile,data/l2arctic/YDCK/wav/arctic_a0436.wav,YDCK,Korean,F,the martin smiled a sppeebele smile
by that answer my professional medical prestige stood or fell,data/l2arctic/YDCK/wav/arctic_a0437.wav,YDCK,Korean,F,by that enser might professsional madical prostich stud or fell
at sea monday march sixteenth nineteen o eight,data/l2arctic/YDCK/wav/arctic_a0438.wav,YDCK,Korean,F,a sy monday march sixteenth ninteen oll at
at sea wednesday march eighteenth nineteen o eight,data/l2arctic/YDCK/wav/arctic_a0439.wav,YDCK,Korean,F,a see wonesday march ihteen ninteen or ait
yes sir i corrected,data/l2arctic/YDCK/wav/arctic_a0440.wav,YDCK,Korean,F,yes sur i correctea
violent life and athletic sports had never appealed to me,data/l2arctic/YDCK/wav/arctic_a0441.wav,YDCK,Korean,F,biol ind life anasolaticsports had neber appeale to me
he was worth nothing to the world,data/l2arctic/YDCK/wav/arctic_a0443.wav,YDCK,Korean,F,he was worth nothing to the word
then you dont believe in altruism,data/l2arctic/YDCK/wav/arctic_a0444.wav,YDCK,Korean,F,then you dont elive in ort reasm
the creative joy i murmured,data/l2arctic/YDCK/wav/arctic_a0445.wav,YDCK,Korean,F,the creative joy iy murmeared
he deluged me overwhelmed me with argument,data/l2arctic/YDCK/wav/arctic_a0446.wav,YDCK,Korean,F,she delerged me overvellimed me with arguent
ah it is growing dark and darker,data/l2arctic/YDCK/wav/arctic_a0447.wav,YDCK,Korean,F,it is growing dark and darker
