transcription,path_to_audio,speaker_id,native_language,gender,whisper_small_transcriptions
those are my oysters he said at last,data/l2arctic/TNI/wav/arctic_a0288.wav,TNI,Hindi,F,"those are my oysters,"" he said at last.!!!"
one by one the boys were captured,data/l2arctic/TNI/wav/arctic_a0290.wav,TNI,Hindi,F,one by one the boys were captured.!!!
the weeks had gone by and no overt acts had been attempted,data/l2arctic/TNI/wav/arctic_a0291.wav,TNI,Hindi,F,the weeks had gone by and no overt acts had been attempted.!!!
here in the midmorning the first casualty occurred,data/l2arctic/TNI/wav/arctic_a0292.wav,TNI,Hindi,F,"here in the mid-morning, the first casualty occurred.!!!"
they were deep in the primeval forest,data/l2arctic/TNI/wav/arctic_a0293.wav,TNI,Hindi,F,they were deep in the primival forest.!!!
he had been foiled in his attempt to escape,data/l2arctic/TNI/wav/arctic_a0294.wav,TNI,Hindi,F,he had been foiled in his attempt to escape.!!!
and twenty men could hold it with spears and arrows,data/l2arctic/TNI/wav/arctic_a0295.wav,TNI,Hindi,F,and 20 men could hold it with spears and arrows.!!!
bassett was a fastidious man,data/l2arctic/TNI/wav/arctic_a0296.wav,TNI,Hindi,F,besset was a fastidious man.!!!
theres a big english general right now whose name is roberts,data/l2arctic/TNI/wav/arctic_a0297.wav,TNI,Hindi,F,there's a big english general right now whose name is robert's.
this tacit promise of continued acquaintance gave saxon a little joy thrill,data/l2arctic/TNI/wav/arctic_a0298.wav,TNI,Hindi,F,this tacit promise of continued acquaintance gives saxon a little joy thrill.
i tell you i am disgusted with this adventure tomfoolery and rot,data/l2arctic/TNI/wav/arctic_a0299.wav,TNI,Hindi,F,"i tell you i am disgusted with this adventure, tom fulrey and rot."
from my earliest recollection of my sleep was a period of terror,data/l2arctic/TNI/wav/arctic_a0300.wav,TNI,Hindi,F,from my earliest recollection of my sleep was a period of terror.
but all my dreams violated this law,data/l2arctic/TNI/wav/arctic_a0301.wav,TNI,Hindi,F,but all my dreams violated this law.
it is very plausible to such people a most convincing hypothesis,data/l2arctic/TNI/wav/arctic_a0302.wav,TNI,Hindi,F,"it was very plausible to such people, a most convincing hypothesis."
but they make the mistake of ignoring their own duality,data/l2arctic/TNI/wav/arctic_a0303.wav,TNI,Hindi,F,but they make the mistake of ignoring their own duality.
i graduated last of my class,data/l2arctic/TNI/wav/arctic_a0304.wav,TNI,Hindi,F,i graduated last of my class.
they had no fixed values to be altered by adjectives and adverbs,data/l2arctic/TNI/wav/arctic_a0305.wav,TNI,Hindi,F,they had no fixed values to be altered by adjectives and adverbs.
very early in my life i separated from my mother,data/l2arctic/TNI/wav/arctic_a0307.wav,TNI,Hindi,F,"very early in my life, i separated from my mother."
his infernal chattering worries me even now as i think of it,data/l2arctic/TNI/wav/arctic_a0308.wav,TNI,Hindi,F,his infernal chattering worries me even now as i think of it.
white leghorns said mortimer,data/l2arctic/TNI/wav/arctic_a0309.wav,TNI,Hindi,F,white legons said mortimer.
massage under tension was the cryptic reply,data/l2arctic/TNI/wav/arctic_a0310.wav,TNI,Hindi,F,massage and attention was the cryptic reply.
therefore hurrah for the game,data/l2arctic/TNI/wav/arctic_a0311.wav,TNI,Hindi,F,"therefore, who wrap for the game?"
it lived in perpetual apprehension of that quarter of the compass,data/l2arctic/TNI/wav/arctic_a0312.wav,TNI,Hindi,F,it lived in perpetual apprehension of that quarter of the compass.
broken tooth yelled with fright and pain,data/l2arctic/TNI/wav/arctic_a0313.wav,TNI,Hindi,F,broken tooth yield with fright and pain.
thus was momentum gained in the younger world,data/l2arctic/TNI/wav/arctic_a0314.wav,TNI,Hindi,F,thus was momentum gained in the younger world.
saxon waited for she knew a fresh idea had struck billy,data/l2arctic/TNI/wav/arctic_a0315.wav,TNI,Hindi,F,saxon waited for she knew a fresh idea had struck billy.
we had been chased by them ourselves more than once,data/l2arctic/TNI/wav/arctic_a0316.wav,TNI,Hindi,F,we had been chased by them ourselves more than once.
he was a wise hyena,data/l2arctic/TNI/wav/arctic_a0317.wav,TNI,Hindi,F,he was a wise hyena.
production is doubling and quadrupling upon itself,data/l2arctic/TNI/wav/arctic_a0318.wav,TNI,Hindi,F,production is doubling and quadrupling upon itself.
and the edinburgh evening news says with editorial gloom,data/l2arctic/TNI/wav/arctic_a0319.wav,TNI,Hindi,F,and the edinburgh evening news says with itorial gloom.
with my strength i slammed it full into red eyes face,data/l2arctic/TNI/wav/arctic_a0320.wav,TNI,Hindi,F,with my strength i slammed it full into the red eyes face.
the log on which lop ear was lying got adrift,data/l2arctic/TNI/wav/arctic_a0321.wav,TNI,Hindi,F,a log on which lopier was lying got adrift.
this is a common experience with all of us,data/l2arctic/TNI/wav/arctic_a0322.wav,TNI,Hindi,F,this is a common experience with all of us.
it was not red eyes ways to forego revenge so easily,data/l2arctic/TNI/wav/arctic_a0324.wav,TNI,Hindi,F,it was not redeye's ways to forego revenge so easily.
whiz zip bang lop ear screamed with sudden anguish,data/l2arctic/TNI/wav/arctic_a0325.wav,TNI,Hindi,F,"with zip bag, lob ears creamed with certain anguish."
cherokee identified himself with his instinct,data/l2arctic/TNI/wav/arctic_a0326.wav,TNI,Hindi,F,charoci identified himself with his instinct.
they were less stooped than we less springy in their movements,data/l2arctic/TNI/wav/arctic_a0327.wav,TNI,Hindi,F,they were less tubed than we. less springy in their moments.
the fire people like ourselves lived in caves,data/l2arctic/TNI/wav/arctic_a0328.wav,TNI,Hindi,F,the fire people like ourselves lived in caves.
ah indeed,data/l2arctic/TNI/wav/arctic_a0329.wav,TNI,Hindi,F,"ah, indeed."
red eye never committed a more outrageous deed,data/l2arctic/TNI/wav/arctic_a0330.wav,TNI,Hindi,F,red i never committed a more outrageous deed.
poor little crooked leg was terribly scared,data/l2arctic/TNI/wav/arctic_a0331.wav,TNI,Hindi,F,poor little crook leg was terribly scared.!!!!
unconsciously our yells and exclamations yielded to this rhythm,data/l2arctic/TNI/wav/arctic_a0332.wav,TNI,Hindi,F,"unconsciously, arielle's and his claims yielded to this rhythm.!!!!"
this is no place for you,data/l2arctic/TNI/wav/arctic_a0333.wav,TNI,Hindi,F,this is no place for you.!!!!
hell knock you off a few sticks in no time,data/l2arctic/TNI/wav/arctic_a0334.wav,TNI,Hindi,F,he will knock you off a few sticks in no time.!!!!
red eye swung back and forth on the branch farther down,data/l2arctic/TNI/wav/arctic_a0335.wav,TNI,Hindi,F,red eyes swung back and forth on the branch farther down.!!!!
so unexpected was my charge that i knocked him off his feet,data/l2arctic/TNI/wav/arctic_a0336.wav,TNI,Hindi,F,so unexpected was my charge that i knocked him off his feet.!!!!
encouraged by my conduct big face became a sudden ally,data/l2arctic/TNI/wav/arctic_a0337.wav,TNI,Hindi,F,"encouraged by my conduct, big face became a sudden alley.!!!!"
the fighting had now become intermittent,data/l2arctic/TNI/wav/arctic_a0338.wav,TNI,Hindi,F,the fighting had now become intermittent.!!!!
they obeyed him and went here and there at his commands,data/l2arctic/TNI/wav/arctic_a0339.wav,TNI,Hindi,F,they obeyed him and went here and there at his commands.!!!!
why doggone you all shake again,data/l2arctic/TNI/wav/arctic_a0341.wav,TNI,Hindi,F,"why, doggone you all? shake again.!!!!"
seventeen no eighteen days ago,data/l2arctic/TNI/wav/arctic_a0342.wav,TNI,Hindi,F,"17, no 18 days to go.!!!!"
you mean for this state general alberta,data/l2arctic/TNI/wav/arctic_a0343.wav,TNI,Hindi,F,"you mean for this state, general alberta?!!!!"
he seemed to fill it with his tremendous vitality,data/l2arctic/TNI/wav/arctic_a0344.wav,TNI,Hindi,F,he seemed to fill it with tremendous vitality.!!!!
she was trying to pass the apron string around him,data/l2arctic/TNI/wav/arctic_a0345.wav,TNI,Hindi,F,she was trying to pass the apron string around him.!!!!
get down and dig in,data/l2arctic/TNI/wav/arctic_a0346.wav,TNI,Hindi,F,get down a diggin.!!!!
they are greatly delighted with anything that is bright or giveth a sound,data/l2arctic/TNI/wav/arctic_a0347.wav,TNI,Hindi,F,they are greatly related with the end thing that is right or give it a sound.!!!!
they only lifted seven hundred and fifty,data/l2arctic/TNI/wav/arctic_a0348.wav,TNI,Hindi,F,they only lifted 750.!!!!
it was simple in its way and no virtue of his,data/l2arctic/TNI/wav/arctic_a0349.wav,TNI,Hindi,F,it was simple in its way and no virtue of his.!!!!
is that pat hanrahans mug looking hungry and willing,data/l2arctic/TNI/wav/arctic_a0350.wav,TNI,Hindi,F,is that pat hendra's mug looking hungry and willing?!!!!
it was more like sugar,data/l2arctic/TNI/wav/arctic_a0351.wav,TNI,Hindi,F,it was more like sugar.!!!!
im sure going along with you all elijah,data/l2arctic/TNI/wav/arctic_a0352.wav,TNI,Hindi,F,"i am sure going along with you all, eleger.!!!!"
here the explosion of mirth drowned him out,data/l2arctic/TNI/wav/arctic_a0353.wav,TNI,Hindi,F,here the explosion of mud drowned him out.!!!!
fresh meat they failed to obtain,data/l2arctic/TNI/wav/arctic_a0354.wav,TNI,Hindi,F,"fresh meat, the fail to obtain.!!!!"
a burst of laughter was his reward,data/l2arctic/TNI/wav/arctic_a0355.wav,TNI,Hindi,F,a burst of laughter was his reward.!!!!
you dont catch me at any such foolishness,data/l2arctic/TNI/wav/arctic_a0356.wav,TNI,Hindi,F,you don't catch me at any foolishness.!!!!
they continued valiantly to lie but the truth continued to outrun him,data/l2arctic/TNI/wav/arctic_a0358.wav,TNI,Hindi,F,"they continued valiantly to lie, but the truth continued to outrun him.!!!!"
earth and gravel seemed to fill the pan,data/l2arctic/TNI/wav/arctic_a0359.wav,TNI,Hindi,F,earth and gravel seem to fill the pan.!!!!
but he no longer cared quite so much for that form of diversion,data/l2arctic/TNI/wav/arctic_a0360.wav,TNI,Hindi,F,but he no longer cared quite so much for that form of diversion.!!!!
but he did not broach it preferring to mature it carefully,data/l2arctic/TNI/wav/arctic_a0361.wav,TNI,Hindi,F,but did not broach it preferring to mature it carefully.!!!!
nope not the slightest idea,data/l2arctic/TNI/wav/arctic_a0362.wav,TNI,Hindi,F,"nope, not the slightest idea.!!!!"
it is not an attempt to smash the market,data/l2arctic/TNI/wav/arctic_a0363.wav,TNI,Hindi,F,it is not an attempt to smash the market.!!!!
we have plenty of capital ourselves and we want more,data/l2arctic/TNI/wav/arctic_a0364.wav,TNI,Hindi,F,we have plenty of capital ourselves and we want more.!!!!
these rumors may even originate with us,data/l2arctic/TNI/wav/arctic_a0365.wav,TNI,Hindi,F,these rumors may even originate within us.
a wildly exciting time was his during the week preceding thursday the eighteenth,data/l2arctic/TNI/wav/arctic_a0366.wav,TNI,Hindi,F,a widely exciting time was during the week preceding thursday the 18th.
there is not an iota of truth in it certainly not,data/l2arctic/TNI/wav/arctic_a0367.wav,TNI,Hindi,F,"there is not an iota of truth in it, certainly not."
i just do appreciate it without being able to express my feelings,data/l2arctic/TNI/wav/arctic_a0368.wav,TNI,Hindi,F,i just do appreciated without being able to express my feelings.
in partnership with daylight the pair raided the san jose interurban,data/l2arctic/TNI/wav/arctic_a0369.wav,TNI,Hindi,F,"in partnership with daylight, the pair did the same jobs in trout band."
he saw all men in the business game doing this,data/l2arctic/TNI/wav/arctic_a0370.wav,TNI,Hindi,F,he saw all men in the business game doing this.
it issued a rate of forty two dollars a car on charcoal,data/l2arctic/TNI/wav/arctic_a0371.wav,TNI,Hindi,F,it issued a rate of 42 dollars a car on child call.
he saw only the effect in a general sketchy way,data/l2arctic/TNI/wav/arctic_a0372.wav,TNI,Hindi,F,he saw only the effect in a general sketchy way.
points of view new ideas life,data/l2arctic/TNI/wav/arctic_a0373.wav,TNI,Hindi,F,"points of view, new ideas, life."
the butchers and meat cutters refused to handle meat destined for unfair restaurants,data/l2arctic/TNI/wav/arctic_a0375.wav,TNI,Hindi,F,the butchers and meat cutters refused to handle meat destined for unfair restaurants.
your price my son is just about thirty per week,data/l2arctic/TNI/wav/arctic_a0376.wav,TNI,Hindi,F,your prize my son is just about 30 per week.
this sound did not disturb the hush and awe of the place,data/l2arctic/TNI/wav/arctic_a0377.wav,TNI,Hindi,F,this sound did not disturb the hush and the awe of the place.
thats why its boundaries are all gouged and jagged,data/l2arctic/TNI/wav/arctic_a0378.wav,TNI,Hindi,F,that's why its boundary are all couched and checked.
how old are you daddy,data/l2arctic/TNI/wav/arctic_a0379.wav,TNI,Hindi,F,how old are you daddy?
but in the canyons water was plentiful and also a luxuriant forest growth,data/l2arctic/TNI/wav/arctic_a0380.wav,TNI,Hindi,F,"but in the canyons, water was plentiful and also a luxuriant forest growth."
my names ferguson,data/l2arctic/TNI/wav/arctic_a0381.wav,TNI,Hindi,F,my name is ferguson.
daylight found himself charmed and made curious by the little man,data/l2arctic/TNI/wav/arctic_a0382.wav,TNI,Hindi,F,daylight found himself charmed and made curious by the little man.
to his surprise her answer was flat and uncompromising,data/l2arctic/TNI/wav/arctic_a0383.wav,TNI,Hindi,F,"to his surprise, her answer was flat and uncompromising."
the farmer works the soil and produces grain,data/l2arctic/TNI/wav/arctic_a0384.wav,TNI,Hindi,F,the farmer works the soil and produces grain.
thats what carnegie did,data/l2arctic/TNI/wav/arctic_a0385.wav,TNI,Hindi,F,that's what carnegie did.
i cant argue with you and you know that,data/l2arctic/TNI/wav/arctic_a0386.wav,TNI,Hindi,F,i can't argue with you and you know that.
bob growing disgusted turned back suddenly and attempted to pass mab,data/l2arctic/TNI/wav/arctic_a0387.wav,TNI,Hindi,F,"bob, growing disgusted, turned back suddenly and attempted to pass map."
it was my idea to a tee,data/l2arctic/TNI/wav/arctic_a0388.wav,TNI,Hindi,F,it was my idea to a tea.
mab she said,data/l2arctic/TNI/wav/arctic_a0389.wav,TNI,Hindi,F,"mab, she said."
ill go over tomorrow afternoon,data/l2arctic/TNI/wav/arctic_a0390.wav,TNI,Hindi,F,i will go over tomorrow afternoon.
there is that magnificent bob eating his head off in the stable,data/l2arctic/TNI/wav/arctic_a0392.wav,TNI,Hindi,F,there is that magnificent bob eating his head off in the stable.
already he had begun borrowing from the banks,data/l2arctic/TNI/wav/arctic_a0393.wav,TNI,Hindi,F,already he had begun borrowing from the banks.
its the strap hangers thatll keep us from going under,data/l2arctic/TNI/wav/arctic_a0394.wav,TNI,Hindi,F,it's the strap hangers that will keep us from going under.
as for himself werent the street railway earnings increasing steadily,data/l2arctic/TNI/wav/arctic_a0395.wav,TNI,Hindi,F,"ask for himself, what are the street railway earnings increasingly steadily?"
a rising tide of fat had submerged them,data/l2arctic/TNI/wav/arctic_a0396.wav,TNI,Hindi,F,a rising tide of fat had submerged them.
call me that again he murmured ecstatically,data/l2arctic/TNI/wav/arctic_a0397.wav,TNI,Hindi,F,"call me that again, he murmured aesthetically."
in the car were unwin and harrison while jones sat with the chauffeur,data/l2arctic/TNI/wav/arctic_a0398.wav,TNI,Hindi,F,in the car were anvin and harrison while john sat with the chauffeur.
and heres another idea,data/l2arctic/TNI/wav/arctic_a0399.wav,TNI,Hindi,F,and here's another idea.
manuel had one besetting sin,data/l2arctic/TNI/wav/arctic_a0400.wav,TNI,Hindi,F,"manual had one, be setting sin."
the man smiled grimly and brought a hatchet and a club,data/l2arctic/TNI/wav/arctic_a0401.wav,TNI,Hindi,F,the man smiled grimly and brought a hatchet and a club.
curly rushed her antagonist who struck again and leaped aside,data/l2arctic/TNI/wav/arctic_a0402.wav,TNI,Hindi,F,curly rushed her antagonist who struck again and leaped aside.
his newborn cunning gave him poise and control,data/l2arctic/TNI/wav/arctic_a0403.wav,TNI,Hindi,F,his newborn cunning gave him poison control.
perrault found one with head buried in the grub box,data/l2arctic/TNI/wav/arctic_a0404.wav,TNI,Hindi,F,perrault found one with head bird in the crab bog.
it seemed the ordained order of things that dogs should work,data/l2arctic/TNI/wav/arctic_a0405.wav,TNI,Hindi,F,it seemed the odd in order of things that dogs should work.
and that was the last of francois and perrault,data/l2arctic/TNI/wav/arctic_a0406.wav,TNI,Hindi,F,and that was the last francoise and peraldo.
mercedes screamed cried laughed and manifested the chaotic abandonment of hysteria,data/l2arctic/TNI/wav/arctic_a0407.wav,TNI,Hindi,F,"mercedes creme cried, laughed and manifested the chaotic abandonment of hysteria."
he could feel a new stir in the land,data/l2arctic/TNI/wav/arctic_a0409.wav,TNI,Hindi,F,he could feel a new star in the land.
so we have to fit the boat throughout with oil lamps as well,data/l2arctic/TNI/wav/arctic_a0410.wav,TNI,Hindi,F,so we have to fit the boat throughout with oil lamps as well.
it will break our hearts and our backs to hoist anchor by hand,data/l2arctic/TNI/wav/arctic_a0411.wav,TNI,Hindi,F,it will break our hearts and our backs to hoist anchor by hand.
there is another virtue in these bulkheads,data/l2arctic/TNI/wav/arctic_a0412.wav,TNI,Hindi,F,there is another virtue in this bulkhead.
but i am at the end of my resources,data/l2arctic/TNI/wav/arctic_a0413.wav,TNI,Hindi,F,but i am at the end of my resources.
now our figuring was all right,data/l2arctic/TNI/wav/arctic_a0414.wav,TNI,Hindi,F,now our figuring was alright.
it lasted as a deterrent for two days,data/l2arctic/TNI/wav/arctic_a0415.wav,TNI,Hindi,F,lasted as a deterrent for two days.
the added weight had a velocity of fifteen miles per hour,data/l2arctic/TNI/wav/arctic_a0416.wav,TNI,Hindi,F,the added weight had a velocity of 15 miles per hour.
it is also an insidious deceitful sun,data/l2arctic/TNI/wav/arctic_a0417.wav,TNI,Hindi,F,it is also an insidious deceitful sum.
the portuguese boy crawled nearer and nearer,data/l2arctic/TNI/wav/arctic_a0418.wav,TNI,Hindi,F,the portuguese boy crawled nearer and nearer.
the portuguese boy passed the hawaiian,data/l2arctic/TNI/wav/arctic_a0419.wav,TNI,Hindi,F,the portuguese boy passed the hawaiian.
when i came to i was waving my hat and murmuring ecstatically,data/l2arctic/TNI/wav/arctic_a0420.wav,TNI,Hindi,F,"when i came to, i was waving my hand and murmuring aesthetically."
by golly the boy wins,data/l2arctic/TNI/wav/arctic_a0421.wav,TNI,Hindi,F,bye golly the boy wins
halfway around the track one donkey got into an argument with its rider,data/l2arctic/TNI/wav/arctic_a0422.wav,TNI,Hindi,F,"halfway around the track, one donkey got into argument with its rider."
mcveigh when he returns from a trip to honolulu,data/l2arctic/TNI/wav/arctic_a0423.wav,TNI,Hindi,F,mcway when he returns from a trip to honlulu.
obviously it was a disease that could be contracted by contact,data/l2arctic/TNI/wav/arctic_a0424.wav,TNI,Hindi,F,"obviously, it was a disease that could be contracted by contact."
they do not know the length of time of incubation,data/l2arctic/TNI/wav/arctic_a0426.wav,TNI,Hindi,F,they do not know the length of time of incubation.
enters now the psychology of the situation,data/l2arctic/TNI/wav/arctic_a0427.wav,TNI,Hindi,F,enters now the psychology of the situation.
it was not exactly a deportation,data/l2arctic/TNI/wav/arctic_a0428.wav,TNI,Hindi,F,it was not exactly a deportation.
quick was the disappointment in his face yet smiling was the acquiescence,data/l2arctic/TNI/wav/arctic_a0429.wav,TNI,Hindi,F,"quick was a disappointment in his face, yet smiling was the equations."
nevertheless we found ourselves once more in the high seat of abundance,data/l2arctic/TNI/wav/arctic_a0430.wav,TNI,Hindi,F,"nevertheless, we found ourselves once more in the high seat of abundance."
wada and na ka ta were in a bit of a funk,data/l2arctic/TNI/wav/arctic_a0431.wav,TNI,Hindi,F,veda and nekita were in a bit of a funk.
the boy at the wheel lost his head,data/l2arctic/TNI/wav/arctic_a0432.wav,TNI,Hindi,F,the boy at the wheel lost his head.
to her the bridge was tambo which is the native for taboo,data/l2arctic/TNI/wav/arctic_a0433.wav,TNI,Hindi,F,to her the bridge was tambo which was the native for tabo.
a half a case of tobacco was worth three pounds,data/l2arctic/TNI/wav/arctic_a0434.wav,TNI,Hindi,F,a half a case of tobacco was worth 3 pounds.
what do you mean by this outrageous conduct,data/l2arctic/TNI/wav/arctic_a0435.wav,TNI,Hindi,F,what do you mean by this outrageous conduct?
but martin smiled a superior smile,data/l2arctic/TNI/wav/arctic_a0436.wav,TNI,Hindi,F,"but martin smiled, a superior smile."
by that answer my professional medical prestige stood or fell,data/l2arctic/TNI/wav/arctic_a0437.wav,TNI,Hindi,F,"by that answer, my professional medical prestige stood of health."
at sea monday march sixteenth nineteen o eight,data/l2arctic/TNI/wav/arctic_a0438.wav,TNI,Hindi,F,"at sea monday, march 16, 1908."
at sea wednesday march eighteenth nineteen o eight,data/l2arctic/TNI/wav/arctic_a0439.wav,TNI,Hindi,F,"at sea wednesday march 18, 1908."
yes sir i corrected,data/l2arctic/TNI/wav/arctic_a0440.wav,TNI,Hindi,F,"yes, sir. i corrected."
violent life and athletic sports had never appealed to me,data/l2arctic/TNI/wav/arctic_a0441.wav,TNI,Hindi,F,violent life and athletic sports had never appealed to me.
he was worth nothing to the world,data/l2arctic/TNI/wav/arctic_a0443.wav,TNI,Hindi,F,he was worth nothing to the world.
then you dont believe in altruism,data/l2arctic/TNI/wav/arctic_a0444.wav,TNI,Hindi,F,then you don't believe in altruism.
the creative joy i murmured,data/l2arctic/TNI/wav/arctic_a0445.wav,TNI,Hindi,F,"the creative joy, i'm mahmoud."
he deluged me overwhelmed me with argument,data/l2arctic/TNI/wav/arctic_a0446.wav,TNI,Hindi,F,"he delused me, overwhelmed me with argument."
ah it is growing dark and darker,data/l2arctic/TNI/wav/arctic_a0447.wav,TNI,Hindi,F,"ah, it's growing dark and darker."
i was hump cabin boy on the schooner ghost,data/l2arctic/TNI/wav/arctic_a0448.wav,TNI,Hindi,F,"i was hum, gabin boy on the suna, ghost."
a sinewy hand dripping with water was clutching the rail,data/l2arctic/TNI/wav/arctic_a0449.wav,TNI,Hindi,F,a sinew-y hand dripping with water was clutching the rails.
no man ate of the seal meat or the oil,data/l2arctic/TNI/wav/arctic_a0450.wav,TNI,Hindi,F,no man ate of the sea meat or the oil
i noticed blood spouting from kerfoot left hand,data/l2arctic/TNI/wav/arctic_a0451.wav,TNI,Hindi,F,i noticed blood spouting from the calf foot's left hand.
three oilers and a fourth engineer was his greeting,data/l2arctic/TNI/wav/arctic_a0452.wav,TNI,Hindi,F,three oilers and a fourth engineer was his greeting.
eighteen hundred he calculated,data/l2arctic/TNI/wav/arctic_a0453.wav,TNI,Hindi,F,1800 he calculated.
the sharp voice of wolf larsen aroused me,data/l2arctic/TNI/wav/arctic_a0454.wav,TNI,Hindi,F,the sharp voice of wolf larson aroused me.
i obeyed and a minute or two later they stood before me,data/l2arctic/TNI/wav/arctic_a0455.wav,TNI,Hindi,F,i obeyed and a minute or two later they stood before me.
but it wont continue she said with easy confidence,data/l2arctic/TNI/wav/arctic_a0456.wav,TNI,Hindi,F,"but it won't continue, she said, with easy confidence."
what i saw i could not at first believe,data/l2arctic/TNI/wav/arctic_a0457.wav,TNI,Hindi,F,what i saw i could not at first believe.
the stout wood was crushed like an eggshell,data/l2arctic/TNI/wav/arctic_a0458.wav,TNI,Hindi,F,the stout wood was crushed like an egg shell.
i had forgotten their existence,data/l2arctic/TNI/wav/arctic_a0460.wav,TNI,Hindi,F,i had forgotten their existence.
ah we were very close together in that moment,data/l2arctic/TNI/wav/arctic_a0461.wav,TNI,Hindi,F,"ah, we were very close together in that moment."
but she swung obediently on her heel into the wind,data/l2arctic/TNI/wav/arctic_a0462.wav,TNI,Hindi,F,but she swung obediently on her heel into the wind.
they are his tongue by which he makes his knowledge articulate,data/l2arctic/TNI/wav/arctic_a0463.wav,TNI,Hindi,F,they are his tongue by which he makes his knowledge articulate.
between the rush of the cascades streaks of rust showed everywhere,data/l2arctic/TNI/wav/arctic_a0464.wav,TNI,Hindi,F,"between the rush of the cascades, streaks of rust shored everywhere."
he will never do a tap of work the whole voyage,data/l2arctic/TNI/wav/arctic_a0465.wav,TNI,Hindi,F,he will never do a tap of work the whole way.
captain west may be a samurai but he is also a human,data/l2arctic/TNI/wav/arctic_a0466.wav,TNI,Hindi,F,"captain west may be a samurai, but he is also a human."
and so early in the voyage too,data/l2arctic/TNI/wav/arctic_a0467.wav,TNI,Hindi,F,and so early in the voyage too.!
in the matter of curry she is a sheer genius,data/l2arctic/TNI/wav/arctic_a0468.wav,TNI,Hindi,F,"in the matter of curry, she is a sheer genius.!"
the eastern heavens were equally spectacular,data/l2arctic/TNI/wav/arctic_a0469.wav,TNI,Hindi,F,the eastern heavens were equally spectacular.!
he spat it out like so much venom,data/l2arctic/TNI/wav/arctic_a0470.wav,TNI,Hindi,F,he spat it out like so much venom.!
i saw mister pike nod his head grimly and sarcastically,data/l2arctic/TNI/wav/arctic_a0471.wav,TNI,Hindi,F,i saw mr. pike nod his head grimly and sacastically.!
he is too keenly intelligent too sharply sensitive successfully to endure,data/l2arctic/TNI/wav/arctic_a0472.wav,TNI,Hindi,F,"he is too keenly intelligent, too sharply sensitive, successively to endure.!"
the night was calm and snowy,data/l2arctic/TNI/wav/arctic_a0473.wav,TNI,Hindi,F,the night was calm and snowy.!
i sailed third mate in the little vampire before you were born,data/l2arctic/TNI/wav/arctic_a0474.wav,TNI,Hindi,F,i sailed third mate in the little vampire before you were born.!
his outstretched arm dropped to his side and he paused,data/l2arctic/TNI/wav/arctic_a0475.wav,TNI,Hindi,F,his outstretched arm dropped to his side and he paused.!
wada louis and the steward are servants of asiatic breed,data/l2arctic/TNI/wav/arctic_a0477.wav,TNI,Hindi,F,"veda, lewis and the steward are servants of asiatic braids.!"
also she has forbidden them smoking their pipes in the after room,data/l2arctic/TNI/wav/arctic_a0478.wav,TNI,Hindi,F,"also, she has forbidden them smoking their pipes in the after-room.!"
i tried to read george moore last night and was dreadfully bored,data/l2arctic/TNI/wav/arctic_a0479.wav,TNI,Hindi,F,i tried to read george moore last night and was dreadfully bored.!
tom spink has a harpoon,data/l2arctic/TNI/wav/arctic_a0480.wav,TNI,Hindi,F,dom's pink has a harpoon.!
nimrod replied with a slight manifestation of sensitiveness,data/l2arctic/TNI/wav/arctic_a0481.wav,TNI,Hindi,F,nimrod replied with a slight manifestation of sensitiveness.!
and their chief virtue lies in that they will never wear out,data/l2arctic/TNI/wav/arctic_a0482.wav,TNI,Hindi,F,and their chief virtualize in that they will never wear out.!
beyond dispute corry hutchinson had married mabel holmes,data/l2arctic/TNI/wav/arctic_a0483.wav,TNI,Hindi,F,"beyond dispute, corey hadkinson had married mabel holmes.!"
no sir ee,data/l2arctic/TNI/wav/arctic_a0484.wav,TNI,Hindi,F,"no sir, e.!"
each insult added to the value of the claim,data/l2arctic/TNI/wav/arctic_a0485.wav,TNI,Hindi,F,each insult added to the value of the claim.!
for the rest he was a mere automaton,data/l2arctic/TNI/wav/arctic_a0486.wav,TNI,Hindi,F,"for the rest, he was mere automaton.!"
the river bared its bosom and snorting steamboats challenged the wilderness,data/l2arctic/TNI/wav/arctic_a0487.wav,TNI,Hindi,F,the river bared its bosom and snorting steamboats challenged the wilderness.!
their love burned with increasing brightness,data/l2arctic/TNI/wav/arctic_a0488.wav,TNI,Hindi,F,their love burned with increasing brightness.!
they were artists not biologists,data/l2arctic/TNI/wav/arctic_a0489.wav,TNI,Hindi,F,"they were artists, not biologists.!"
both johnny and his mother shuffled their feet as they walked,data/l2arctic/TNI/wav/arctic_a0490.wav,TNI,Hindi,F,both johnny and his mother shuffled their feet as they walked.!
and as in denial of guilt the one legged boy replied,data/l2arctic/TNI/wav/arctic_a0491.wav,TNI,Hindi,F,"and, as in denial of guilt, the one-legged boy replied.!"
burnt out like the crater of a volcano,data/l2arctic/TNI/wav/arctic_a0492.wav,TNI,Hindi,F,burnt out like the crater of the volcano.!
obrien took off his coat and bared his right arm,data/l2arctic/TNI/wav/arctic_a0494.wav,TNI,Hindi,F,o'brien took off his coat and bared his right arm.!
he bore no grudges and had few enemies,data/l2arctic/TNI/wav/arctic_a0495.wav,TNI,Hindi,F,he bore no grudges and had few enemies.!
and tom king patiently endured,data/l2arctic/TNI/wav/arctic_a0496.wav,TNI,Hindi,F,and tom king patiently endured.!
king took every advantage he knew,data/l2arctic/TNI/wav/arctic_a0497.wav,TNI,Hindi,F,king took every advantage he knew.!
